text,humor
now that is not to suggest that our noses are the product of female choice sexual selection and that might only be part of the story with the pervasus monkey,0
but female choice is not the only flavor of sexual selection,0
another driver is competition between males,0
when the bros have to fight each other to gain access to females adaptations that help them when a fight are selected for,0
often this results in the evolution of weaponry like long canines or tusks even in animals that only eat leaves or vegetables,0
the pervasus males have quite a bit of competing to do,0
their social system is organized into herons where one male has access to a number of females,0
i know what you are thinking those noses do not look like weapons to me unless you count a good noodle slapping but they still can be used in combat,1
sort of,0
these monkey herons often live close to one another and females sometimes decide to move between them,0
so there is plenty of opportunities for fights as males defend their turf,0
but fighting is a real bummer,0
sorry but fighting is a real bummer,0
they can get hurt,0
and they have not invented the band aid yet,1
why would they with all that fur it would be a right pitch to take off,1
so if there is a way a monkey can predict that he is likely to lose a fight before it happens that would certainly be useful in not getting dead,1
now if you can see the size of your challenger you can just make good choices,0
but where they live the visibility is not that great,0
what with all the leaves,0
and that is where the noises come in,0
propossus monkeys make a lot of noise,0
it can sound a bit like a donkey swallowed a dialop modem,0
i think you know where this is headed,0
a larger nose helps make a louder lower sound,0
and we already know that large noses correlate to large bodies,0
so a male can listen to another male s call and decide if he wants to rumble,0
and the females they are listening in too,0
because a louder sound means bigger testicles,1
and telling you it is a whole thing,1
so the propossus nose might be a bit of a both end,1
starting to evolve as a signal for males and then driven to extremes by female choice,0
these monkeys have something else that is both used to attract mates and to warn other males,0
go ahead jerry,1
now humans have more of a right place right time sort of erection,0
for the propossus monkey the time is always in the places everywhere,1
they have a brightly colored and more or less permanent erection,1
it s not always turned up to,1
there s the sort of everyday walking about erection,1
this one s measuring his spl,0
and here s a more elegant cocktail party sort of erection,1
but they reserve a more straight up man spreading erection as a warning for when they are about to get aggressive,1
we do not do that,1
it s a shame,1
we d make mma weigh ins more exciting,1
well conor mcgregor certainly showed up to fight,1
but no we cannot even use ours to flag down a bus,1
trust me i ve tried it,1
bus kept going,1
and i know what you are going to say,0
i have read somewhere that the human male genitalia is proportionately larger than what the apes on the monkeys are carrying about,0
that is like the most human thing to think,0
it s like how everybody says their hometown has the best drinking water,0
it s bullshitt the researcher alan dixon son of dix so you know he is for real he looked into it and found that humans are pretty unremarkable and average down there,1
but what about our big noses,0
there must be something special there,0
well no surprise the science hippies cannot even agree on it,1
one idea was that when we moved to colder places bigger noses were better at warming and moistening the air,0
that one s refuted,0
not just futed,0
they futed it again,0
there s another idea that our big noses gave us stereo smell for navigation,0
not refuted yet,0
and then there is the simple idea that it is just the byproduct of our bigger brains,0
as our skulls got bigger our faces flattened leaving our nose out there like a little flesh island,0
so just remember if you want to laugh at a monkey with a big nose and a funny looking penis call up a friend and get naked,1
it s a hell of a lot cheaper than going to borneo,0
alright so you want a statue of the monkey right,1
how big,1
oh that is big,1
you want a realistic life like,1
oh okay,1
well what about the erect,1
right,1
no i understand the tourists,1
how about this,1
we put grapes in front of it,1
yeah no that is no problem,1
anything else,1
oh it is a fountain,1
oh that is new,1
alright,1
well in italy a lot of times the water comes out from the tip of the we re hear me out,1
it would come up from behind the grapes in this really beautiful arc,1
no,1
oh i ve got it,1
we ll make it look like it is vomiting,1
projectile vomiting,1
all over everything,1
hello and welcome to another coding challenge,0
well i m excited about this one,1
in this coding challenge i m going to attempt to make this fern,1
the barnsley fern named for the british mathematician michael barnsley,0
i encourage you to read this wikipedia page which will give you more background on it,0
what i m going to do is just look at the algorithm and try to write that algorithm into code and see if we can get that result,1
and then you the creative viewer of this coding challenge will make your own version with different colors,0
and you will think about animating it and do all sorts of things that i could not possibly even imagine,1
so for what is the algorithm here,0
so if we look down here i m just going to skip down down here,1
it says the first point is drawn at the origin x equals y equals,0
so what this means is where you need some sort of two dimensional space,0
it could be a processing canvas and i want to start at,1
now i m going to think of in the center here,1
and i m going to have to probably figure out some ways of well the pixels are here but then on the pixel spaces here,1
but i m not going to worry about that right now,1
and then what is the next step,0
the next step is and then the new points are iteratively computed by randomly applying one of the four following coordinate transformations,0
and here they are to find out this is the kind of stuff that you might see and think ahh ok i m going to go do something else,1
this looks like matrix math and linear algebra,0
but this is actually first of all if you watch some of my matrix videos this is going to strangely enough make sense to you,1
but let me actually show you that this math is actually quite simple,1
let s use just this second one and let us rewrite this over on the board,0
so f of x y equals so i m going to have to go back and check it haha,1
,1
negative negative i should have made up my own numbers haha,1
,1
then we have x y oh no i m running out of space,1
i m running out of space,1
plus i can put this in,1
you can see that and,0
what does this mean,1
well this is actually the matrix product or the matrix multiplication or the dot product,0
what it means is i want to find the values,1
if this is x y what i want to get is the next values for x,1
so i have one point and i want to know where does that point go,1
what s x y,1
so this being x equals this number times that sorry times x plus this number times that the row gets multiplied by the column times y,1
and then plus this number plus,0
and then y then equals negative times x plus and my handwriting s terrible times y this column times this column plus,1
so it is really just this formula,1
if i have an xy coordinate i get the next xy coordinate with this math,0
and we can just double check that this is right,0
look at that for a second with my horrible messy handwriting,1
and then let us go down here and see look at this,0
it s the same thing,0
x the next x is this number times the previous x plus this number times the previous y,0
and the next y is this number times the previous x plus this number times the previous y plus,0
so we just need to do one of these four,0
and each one of those four we do according to a particular probability,0
right,0
oh right abcde,1
yep that could have written it this way,1
that s the generic way of writing,1
okay so all right so let us go back into that let us start writing some code,1
all right so i have a processing sketch a java based programming environment with a nice api for drawing stuff and lots more processing,1
i m going to say background equals zero,1
i m going to have an x aaand a y i m going to set those to be zero to start,1
i m going to draw i m going to say stroke,1
,0
stroke weight,0
sorry stroke stroke weight eight,1
and then i m going to draw a point at x point y,1
ok,0
and then what i need to do is get the next value,1
so next x equals some number a times x plus b times y plus c and actually so let us just use these numbers here,0
let s just copy these,0
,1
,0
negative,1
negative,1
and next y is negative,0
,0
,1
,1
,1
,1
no what is going on,1
ok everything s fine now,1
breathe everybody,0
breathe would be,0
okay so this is applying that particular transformation,0
and then i could just say x equals next x y equals next y,1
so what if i were to do this and run this,1
i do not get any errors,1
so i do see this circle over here being drawn,1
so here s the thing,0
i m only applying one of those transformations,1
i need to pick one of four,1
and i also am not thinking sort of thoughtfully about the pixel space,1
so i need to do a mapping right,1
x with pixels goes from to to,0
but maybe i want to think of this as a space between negative and and negative and,1
so what i want to do is say when i actually go to draw it pixel x equals map x which goes between negative and to and width and pixel y between negative and,1
and i m going to flip the axis height,1
and then i m going to draw the point at px py,1
let s run this,0
and then oh okay and then i only want to draw the background once,1
and we can see there we go,0
so if i apply that transformation over and over again we can see the point going up that way,0
now is that right,1
that looked weird to me,1
this has to be y,0
yes this needs to be y i was like mapping the x value,1
i was like why is it uh alright,1
so uh mmm alright,1
it s not moving very much but that is fine,1
i m just applying this one transformation,1
alright let us look at the values,0
just to sort of see what those values aaare doing,1
and we can see there we go,0
now it kind of settled,1
interestingly enough it settled to a fixed point,0
hmm,0
but here s the thing,0
we need to do one of four transformations,0
so i need to do the tedious thing,1
now i could probably write the encode these into arrays and like automatically,0
but i m going to do this in a very long winded way,1
just to see the code,0
i m going to have four of these possibilities,1
so this is actually number two,0
i need to have one,1
i need to have three,1
and i need to have four,1
and i probably should put these in a function,1
but oh there is so many ways i could organize the code to be better,1
but i m going to just do it this way right now,1
and i m going to maybe i ll refactor it all later let you do that,1
so let us go back and look at the algorithm,0
this is just zero and point one six times y,0
so this one is actually just zero,0
and this is actually just zero point one zero point one six times y,0
that s option number one,1
option number two we did,0
option number three,0
option number three is point two negative point two six point two negative zero point two six,1
and then point two three point two two one point six,0
point two three point two two two point six what that what it was,1
one point six,0
and then option number four is negative point one five point two eight,0
you re really watching me do this,1
negative one five and two eight,1
that s not right,1
yeah it is right,1
and then two six two four four four,0
two six two four four four four,0
let s auto format all this,0
okay now this is the really important part,1
i need everything to line up,1
it s not lining up the way i wanted to,1
help me line up,1
no no this plus has to go here,1
this has to go there,0
that s ok now,0
this is ok,0
that s fine,0
that s fine,0
ok it is fine now,1
everything s okay everybody,1
oh wait no no no,1
i need a zero here,1
definitely need a zero there,1
ok,0
what s wrong,1
oh no no,1
these have to go over because there is no negative there,1
oh and this has yeah i do not like this,1
this has to go over too,0
yes yes,0
ok this has to go over,1
there we go,0
ok that is much better now,1
now the other thing is i m just going to say float next x,1
float next y,0
and then i m going to because i just wanted to clear the variables once,1
i m going to get rid of all of these,1
yes you are watching me do this in the most tedious ridiculous way possible,1
but it is good this is good for you,1
because you are in your frustration and like oh i got a lot,1
you re going to you are going to improve your coding skills by doing it in a different way,1
watching me and my poor poor poor way of doing this,1
ok,0
so this is good,1
now i need to now i m going to pick a random number,1
and i m just going to say i m going to just do this,1
if r is less i m going to i m going to do a one out of four chance for each of these,1
if r is less than do this,0
otherwise if r is less than do this one,0
otherwise otherwise if r is less than do this one,0
and then otherwise do the last one,0
so now i m just doing a one out of four chance of doing any of these,1
ok,0
so let s all right,1
so let us run this and see what happens,0
we re not going to get the fern,1
but we should get ooh look at this,1
i m getting something,1
it s just look at this,1
oh it might even be like two,1
it s just look at this,1
oh it might even be like tree like,1
so one thing i want to do is i want to pick the i want to take this which is like sort of like next point,1
and i m going to put that into its own function next point,1
so that i can because i m i m probably going to want to also do this,1
oh and then i m going to take this and draw a point,1
and then because i might want to do these multiple times in draw,1
so i think just and i could probably do this in an object oriented way,1
i should probably store it in a ray of all the points,1
but let us just look at this,0
so now let s let me let this go a little faster,1
let me say do a hundred of these transformations per frame,0
and we can see and by the way should be at the bottom,0
i am now sort of figuring out,1
so i m going to put at the bottom,1
so i m going to map this from a two two down to,1
right,0
oh whoa i did that,1
no to i mean,1
to,0
there we go,0
so here s my weird tree thing that i m making without being thoughtful about those probabilities,1
let s go look at the wikipedia page for those probabilities,0
and you can see they are actually right here in this table,1
so this table is actually defining all those coefficients,0
and here in repeat probability,0
so we have a chance of the first one chance of the second chance of the third and chance of the fourth,0
so i m actually going to put this i m going to amazingly do this in an array,1
well actually so so okay,1
so there is let us think about this,0
back here,0
there s a chance of this first one,0
so i know that should be this,1
now i want to have an chance of this second one,1
so now i actually need to look and see is it less than,1
because if it is less than that is a chance,1
and between and is,0
then i need to do less than right,1
because there is a chance of this third one,1
and in all other cases the fourth one,0
so let us look at this now,0
and are we going to get a barnsley firm,0
this is looking pretty good,0
now everything s like way off the screen right,1
because i was not proud,1
i was like oh that ll just make up between negative and,1
but you might have noticed remember the jazz timing,1
plus,0
so clearly the point can go further than that,0
so let us give ourselves some more space,0
so where are the mappings,1
the mappings are here,0
let s go from to,1
and let us try negative to,1
and let us make the stroke weight a little bit less,1
let s give ourselves much more space,0
oh look at that,1
beauty us ness,1
barnsley firm,0
that looks about right,0
ok,0
so i m done,1
even though i want to do so much more,1
but i m not going to,1
i m going to let you do more,1
because what can you how could you animate this,1
how could you pick color,1
how could you consider the space,1
how could you connect the points,1
how could you render this in a different way,1
there s so many possibilities,1
but i m going to leave this at this,1
i ve just done the core algorithm,1
and we have this barnsley firm,0
and you know you can by the way you can draw,1
you can see here s variations of this,0
why is mine kind of different than this though,1
so first of all i m discovering here,1
this is actually giving me the correct range,1
so let us actually do this range,1
let s go into the code and implement the range that was on the wikipedia page,0
so negative,1
to there,0
and then zero to let us try this,0
there we go,0
ok,0
so i was not mapping the proper range,1
so it did not curve to the right,0
but now i am mapping the full barnsley firm,1
thank you very much,1
i really want to make it rainbow color and do other stuff,1
but we have completed it,0
this is the barnsley firm fractal in processing in about three hours and minutes,0
thanks for watching this entire video,1
and i hope you make a variation of this in some way that i could not possibly imagine,1
and share it with me,0
share it in the comments,0
there s a way you can go to the coding and submit a link to your contribution,1
and on twitter at shift minarets the coding train,0
ok,0
thanks,0
and i will see you all in the next coding challenge,0
okay hello and welcome to a coding challenge,0
google chrome dinosaur game edition,0
unfortunately i do not have my train whistle,0
i did not bring it with me today,0
so this is definitely not going to go well,1
not that any of my coding challenges ever go well but i m going to give this a try,1
i m going to attempt to program quickly,0
the google chrome dinosaur game,0
i m going to use my own images and stuff,0
so it will be the unicorn game of course,0
i m going to use p jess the javascript library p jess and i m going to interact with it in a unique way that you have to stick around for the end of the video,0
i ll just tell you now,0
i m going to try to control with my voice,0
okay so you skip to the end,0
maybe i ll be doing it there,0
okay so here we go,0
let s get started,0
so what do i need to do,0
so first i m going to make a i m going to add i m going to the p web editor,0
i m going to add a file,0
i m going to call it a dyno js,0
even though it is not let us call it unicorn,0
unicorn js,0
and that is going to be my unicorn,0
and what do i need,0
i also need to have those are like cactus thingies,1
i mean those are going to be trains,0
so i m going to make a train js add file,0
so let us start by creating the unicorn class unicorn,0
so i m going to use object oriented programming because you know i do basically this by the way is exactly the same as slapy bird,0
so i m really just doing the same thing over again but whatever,1
this is a nice beginner friendly challenge,0
so and maybe using object oriented programming is a little bit overkill,1
but let us give the unicorn a x location at and a y location which will be height because it is sitting at the bottom of the window but maybe i ll say like height minus right now,0
and then i m going to create a function called show and i m going to draw it,0
i m just going to draw as a rectangle right now at this x this y and i ll make it,0
so this is the unicorn class,0
a unicorn object has an x and a y and when i draw it it is a rectangle at that x and a y with a width and height of,0
and those will probably need to be variables eventually,0
so let me make a variable called unicorn,0
i m going to say unicorn is a new unicorn and i m going to say here unicorn show,0
and let us run this,0
there we go,0
oh ok,0
so of course i forgot what i always forget which is that i ve added some new javascript files and i need to reference them in my html,1
unicorn and what was the other thing called train,0
all right,0
so that is a unicorn,0
and what i want is but let me play that game again,0
how does it work,0
it just sits there,0
so every time i press the space bar it jumps,0
so let us get it to do that first,0
let s get it to do that first,0
so what does it need in order to be able to jump,0
it needs a velocity a speed along the y axis,0
so let us call this vy and we will say that is zero,0
and we will write a function called jump which we will give it kind of this like instant force,0
so we are going to like push it up,0
so i m going to say this dot vy equals let us say like negative five,0
that s moving it up,0
and then i m going to write a function called move which says this dot y plus equals this dot vy,0
so what we should see now is if i say unicorn dot move and then if i add function key pressed and say if the key is the space bar unicorn dot jump,0
this really is basically the same as flappy birds so far,0
then we should see that velocity kick in,0
so i m always moving it based on whatever that velocity is,0
but the velocity is zero the speed is zero,0
but as soon as i say jump it sets the speed to negative five and we should start to see it move up,0
here we go,0
and i m moving along here,0
i m going to press space,0
there we go,0
ah goodbye unicorn,1
see you later,1
all right,0
so we need gravity,0
so we need some form of gravity which probably makes sense as a global variable but i m just going to since the gravity is really only going to affect the unicorn,0
i m going to put it in here,0
let s say it is a zero point five,0
so gravity is in a way a counteracting force,0
so no matter what it is doing the gravity is always adjusting the speed of the unicorn the acceleration basically,0
so what i can do now also in move is say this dot vy plus equal this dot gravity,0
however i do not want to ever let because now it is gone,0
i do not want to ever let the unicorn fall off the bottom,0
it should be basically a ground level,0
so i m going to do that,0
so let us make this a size,0
let s say r equals,0
so we are going to kind of use that for all the parts where we are drawing,0
and then i m also going to say i m going to have a constraint,0
so i m going to say this dot y equals constraint,0
it s current y value between zero and really where it is sitting at the bottom which is also height minus this dot r so it is stuck there,0
and now if i press oops press space you can see it jumps,0
now that is a very measly little jump,1
we need to be able to jump much more,0
so let us set this to like,0
and let us see what happens,0
okay,0
that s too much,1
let s just set it to,0
maybe i need to make the gravity stronger too,0
so there is going to be a lot of fine tuning of this,0
but let us just do that,0
and let me set this to,0
whoops,1
and maybe let us set the gravity to two,0
there we go,0
this feels a bit more like the dinosaur game,0
so this is kind of sad,1
let s make our unicorn look a little bit more exciting,0
let s load an image,0
so i have on the desktop here i have some images,0
i have a background which will be the background of the game,0
i have a unicorn,0
this will be the character with a little angry equal sign sitting on it,0
and then the train will be the thing and has to jump over,0
so let s so what i m going to do here is i m going to add these files,0
i m going to add file,0
and i m going to drag them in to the web editor,0
it uploaded all of them,0
and then in here i m going to add preload,0
and i m going to have let you image let t image and let background image,0
and let us load all those,0
u image equals load image unicorn png,0
and we are doing the same,0
for t image and background image this is train,0
and this is background,0
let s change the background to ooh,0
so what did i get wrong here,0
background is actually a jpeg,0
so let us have the background now be background image,0
there we go,0
and let us have the unicorn,0
where is it be,0
i m going to say image unicorn image,0
there we go,0
it s so tiny,1
oh it is not pixelated,1
it s so sad,1
let s change this to,0
that s but it is x value should not be here,0
there we go,0
so there is our jumping unicorn,1
this is not a lot of screen real estate to work with,0
so let me actually load a background image that is pixels wide which i think will be a little better than,0
all right my unicorn can jump,0
and i ve made the background a little wider which means now i need obstacles for it to jump over,0
and those are going to be little train things,0
so i m going to make another class call it a train,0
choo choo,1
i m going to give that a constructor,0
these will have also an x and a y,0
so the x will be it is going to start off the edge,0
and the y will be actually also at the bottom,0
so height minus i ll give it a size,0
and this dot r will be,0
and then so now i need a show function,0
and that i m going to draw as an image like fingers are in the wrong place the train image at x and y,0
this dot r this dot r and let us also add a move function,0
and we will say this dot x minus equals,0
and so the train so this is a weird thing,0
it s supposed to be oh this is going to be a problem,0
my fixed background is going to make this visually a problem,0
and people on the chat are saying parallax background please,0
all right so maybe i m going to get to that,0
this is going to end up being a longer video if i implement that,0
but really the unicorn is moving,0
so the unicorn is moving but the x stays fixed,0
the trains well the trains could be moving if they are trains,1
that s weird,1
but they are supposed to be cactuses cacti,1
they re standing still and the unicorn is just approaching them,0
but we are seeing it from the unicorns point of view,0
oh i ve really botched this,0
but what i m going to do is just move them by the whole scene is scrolling by three pixels,0
and we will figure out if we can parallax the background maybe later,0
what do i even mean by parallax to make it appear as if the background is changing but often the distance so it is sort of moving at a different speed,0
but for now let us just do this,0
let s create an array called trains,0
and we are going to say train in setup,0
well actually you know what we are going to do in draw,0
we re just going to randomly,0
we re going to pick a random number between and,0
and we will say of the time we are going to say trains push,0
we re going to add a new train,0
so it is going to be irregular,0
this is different than the flappy bird i made where the i think the pipes maybe it was a regular,0
i thought the pipes were regular intervals,0
now there is a random chance of adding a new train,0
and then all of the trains that exist we are going to say four all of the train the dodged say t in trains,0
i m going to say t dot move t dot show,0
all right let us see what happens,0
do we have a train,0
maybe i better increase this,0
oh there we go,0
oh look at that,0
all right they are moving,0
they re kind of slow,0
i m going to jump over it,0
ok let us make them move a little faster,0
so we have got some tweaking we have got to do,0
whoa this is a nice way,1
now look my unicorn can fly,1
so i need to fix the fact i need to not allow my unicorn to fly right,1
i should only be able to jump if i m at the bottom,0
so let us fix that,0
so to do that i need to go into unicorn,0
and in the jump function i should only be allowed to jump if i m sitting at the bottom,0
so in other words if y is oh well if i m at the bottom,0
so as long as y is equal to is this really going to work,0
i do not like to use equal checks,0
but this is by definition sitting at the bottom,0
so only if i m sitting at the bottom can i jump,0
so if y is equal to that spot let us see if that works,0
so jump oops jump,1
oh this dot y,0
come on trains,1
oh yeah yep i can only jump when i m at the bottom,0
all right so that works,0
so that fixed,0
i think i need to be able to jump quite a bit higher,0
let s try,0
should really use like a slider or something,0
there we go,0
i think this is going to make the game more possible to win,0
there s too many trains,1
too many trains,1
one thing that is bothering me is the trains are going in front of the unicorn,0
i know that does not really matter,0
so much,0
it s really does not matter,0
but i kind of would prefer them to be behind,0
so i m going to move this here,0
i m also going to make the game a little easier to play,0
i m going to reduce the number of trains,0
so there is going to be a much lower probability of there being a train,0
let s see if i can actually play this game somewhat successfully even though i m not doing the collision checking yet,0
no,0
i think if the trains move faster it would actually make it easier,0
so let us actually double the speed of the trains,0
all right,0
this looks like this game is now possible to play,0
but i need to add collision detection,0
so i ve done this before in plenty of other coding challenges,0
there s a pretty simple algorithm to just check if two rectangles are intersecting with each other or not,0
i can just check their x s and y,0
they re basically all of the edges the left the right the top the bottom against each other,0
but this is a nice opportunity for me to just explore a library that is out there in the world,0
and this library is called p collide d,0
and it actually has a function that it called collide rectangle rectangle,0
and it will give me a boolean variable if i give it the x y with height of one rectangle and the x y with height of another rectangle,0
so let us actually just use this library,0
this is also a nice excuse for me to show you that github is now integrated with something called jsdeliver,0
so this is an open source content delivery network meaning if a javascript file is hosted on github i do not have to download that file and then add it to my project,0
i can just link to it,0
so i m going to go over here to github,0
there s lots of different ways here that i can reference a file on github,0
i think the easiest way for what i m doing right now is just to reference its path,0
and here s an example path,0
so i m going to go over here to index html,0
i m going to add another script tag,0
i m going to say script source equals,0
i m going to paste that in closed script,0
but this is not the path that i want,0
i want the username which is b m o r e n and then i want the path to let us get the minified version of the library,0
and that would just be this right there in the root directory,0
so now i m just referencing that file,0
let s see if that works,0
this is actually not correct,0
i m referencing the cdn url the username but i also need the repo name,0
so that should be p collide d slash this,0
so this should now work,0
and i should be able to use the collide function,0
so i m going to use this collide rectangle rectangle,0
let me just call this in draw to see if that works,0
and it does not give me an error,0
great,1
no error,1
and so now i can check when i m going through all of the trains if unicorn hits t console log game over,0
so console log game over,0
and then i m actually going to say no loop,0
so i m just going to actually stop the sketch shut down the sketch completely which is not a really thoughtful user experience design choice,0
but it is what i m going to do for right now,0
and then i just need to add a function here called hits and receives a train,0
and i can use this function which i need this x this y this r this r,0
and then i need exactly the same thing but with that particular train,0
so instead of this i m checking this rectangle with this trains rectangle,0
and i m going to put this in a variable called collide,0
and i m going to say if i am going to return that,0
i can actually you know what,0
i m just returning this,0
return that,0
so return the true or false result of this collide function from that library,0
and now let us run the game,0
i ll wait for our first train,0
game over,0
let s see if i can play it now,0
oh there are so many trains oh well you are hooked,1
let s make the train a little bit smaller,0
and actually let us make the unicorn smaller as well,0
hopefully this will help,0
all right let us draw the box,0
let s debug this a little bit by drawing the box like very subtly,0
so let us draw a very slight rectangle,0
this is what we are actually checking,0
there we go,0
it helps to see the full box,0
come on trains,0
spawning a train with a mouse click would be a good idea,0
ok we lost,0
all right so there is obviously a lot of gameplay improvements that need to happen here,0
one is i could be more thoughtful about you can see how there is some wasted space here,0
i should crop the image and the actual rectangle a little bit smaller,0
i could consider using a circle,0
i could use a more complex shape,0
but this is good enough for right now,0
let s actually make it,0
i could also just click the mouse in order to start a train that actually might help things,0
but let me comment out this,0
and what i want to do just before i go before i finish saying you are going to make a version of this with a score and all sorts of nicer things and sounds,0
but i ve got to finish this off,0
i ve got to finish this video,0
i want to control the train with my voice,0
so to do that i m going to use ml js which has a speech commands machine learning model built into this javascript library,0
so i made a whole separate video about this particular pre trained model and how it works,0
so i m just going to add it pretty quickly into this video,0
you can go watch the other one for more details,0
but if you are looking for the documentation if i click on reference and go to sound classifier this is what i m looking at doing,0
so all i need to first thing i need to do is well actually one thing i need to do is i need to go to get started,0
and i need to get a script tag to be able to reference the library,0
so i want to add the ml library,0
so i m copying this,0
i m going here to index the html,0
so in addition to p cly d i m now adding ml,0
and i m going to go here,0
and i m going to in preload,0
i m going to do let sound classifier create a variable in preload,0
i m going to say sound classifier equals ml sound classifier,0
and the model i m loading is called speech commands w,0
because this is a model that is been trained to recognize particular words,0
zero the digits zero through nine up down left right and a few other ones that are documented on this ml webpage,0
let s go look that up real quick,0
so if i go back to sound classifier up down left right go stop yes no,0
so those are the words it is trained to recognize,0
and i actually also want to get this probability threshold,0
so i m going to add this in here because i want it to be really sure i m saying jump,0
so i m going to make this,0
this means it is got to be sure,0
the confidence score that is coming from that particular model,0
and how that model was trained and there is all the paper you can read,0
and i ve talked about that more in the other video,0
so now that i have that in setup i can say sound classifier classify then i can get a function,0
i m going to call it got word,0
we re got command,0
let s call it got command,0
so this is a callback function that is going to trigger any time it gets a command,0
it gets an error first error first callbacks and then the results,0
so i m just going to say if there is an error i m just going to console error the error,0
otherwise if results index dot label,0
so results as an array with labels and confidence scores,0
the labels are the words,0
and what i m looking for is the word up,0
if that label is up then unicorn jump,0
so this is a really quick way of me looking for a particular keyword from that library,0
and i m also just going to console log results index dot label,0
just to see if i m getting other words also,0
and we might as well log the confidence score just so we can see that,0
that might be good for debugging as well,0
so now that i ve logged those two things i m going to run this sketch,0
shoot,1
but you can see it got up,0
i m going to add the thing where i click the mouse and i can give myself a train,0
and in fact let us comment out the random trains,0
also i really should be more thoughtful about how i m picking the train,0
like when the train should come like maybe there is a minimum distance between them,0
if i ve just added one can i have a longer train with other train cars,0
i do not know what is going on here,0
there s a lot of narrative flaws in what is going on here,1
but i m just going to add one myself,0
up,0
yes,0
up,0
shoot,0
all right,0
everyone is making the suggestion in the chat that i should change it to a circle,0
so that ll actually kind of be like around it,0
it ll give me a little wiggle room along the edges and make the intersection happen a little less often,0
so let us actually go ahead and do that,0
so i m going to go into where the only place where i m doing this collision detection is where in the unicorn under hits,0
so i m going to change this to collide circle circle collide circle circle and circle to circle assumes ellipse mode center,0
so i m going to have to think of the circle as the center point of the object which is not a big deal,0
so the way that i m going to do that let us make some separate variables,0
let s say x equals this dot x plus this dot r times,0
so this would be the middle,0
this is the middle,0
and then r is the diameter of the circle,0
so that is fine,0
this is y,0
and then x y is the train,0
