,text,humor
144,oh that is big,1
145,you want a realistic life like,1
146,oh okay,1
147,well what about the erect,1
148,right,1
149,no i understand the tourists,1
150,how about this,1
151,we put grapes in front of it,1
152,yeah no that is no problem,1
153,anything else,1
154,oh it is a fountain,1
155,oh that is new,1
156,alright,1
157,well in italy a lot of times the water comes out from the tip of the we re hear me out,1
158,it would come up from behind the grapes in this really beautiful arc,1
159,no,1
160,oh i ve got it,1
161,we ll make it look like it is vomiting,1
162,projectile vomiting,1
163,all over everything,1
