,text,humor,pred,result,good,bad,accuracy
39,some folks will be going through online training to fill in for essential workers maybe a teacher you know trained to do in home childcare to sub in for someone who is gotten ill and maybe a neighbor who has experienced caring for an elderly relative decides to take the course and is ready to fill in,False,False,good,,,
40,how and where testing gets done might also depend on the community,False,False,good,,,
41,we know that the best way to prevent spread is to find out who was in contact with someone who tests positive so that those people can get tested quickly and have results within hours,False,False,good,,,
42,some communities already have networks of contact tracer that people trust to do this work in a way that protects their rights,False,False,good,,,
43,while in some communities we might hear about people working together to build these networks,False,False,good,,,
44,maybe some will use technology to help,False,False,good,,,
45,the better we are at contact tracing the faster we can move on to phase two,False,False,good,,,
46,but worst case we just have to make a lot more tests,False,False,good,,,
47,because in phase one most of us are still isolating at home so we only need to produce enough tests to keep those essential workers safe,False,False,good,,,
48,meanwhile we will hear about all the innovative ways communities and companies are expanding contact tracing and making it work to bring down the number of cases to where we can move to phase two,False,False,good,,,
49,in phase two well we have got our stable foundation of,False,False,good,,,
50,so now we expand essential workers to,False,False,good,,,
51,communities will be empowered to put programs in place to train and hire more people in essential jobs lightening the burden on the current essential workforce,False,False,good,,,
52,we ll be able to address supply chain problems,False,False,good,,,
53,you can find toilet paper in stores and order pasta online again,False,True,bad,,,
54,we might see one city get more buses on the street and hire more folks to drive those buses so that expanded essential workers can get to their jobs safely without being in a crowded environment,False,False,good,,,
55,another city without buses to spare might invest in hiring a set of workers to build out more public transit infrastructure,False,False,good,,,
56,more people will get hired to serve in roles in unemployment and retraining so more people can access support,False,False,good,,,
57,a doctor who is tested positive and has to isolate might teach courses on how to do a swab test,False,True,bad,,,
58,a contact tracer with years experience might partner with their county to start an online training program for contact tracers,False,False,good,,,
59,maybe the bay area leans heavily on appassisted contact tracing,False,True,bad,,,
60,maybe la partners with an organization like unidos us to work with immigrants on community run contact tracing they trust,False,False,good,,,
61,in a rural county like mine maybe we do most of our contact tracing the old fashioned way over the phone with one of our local figures that everyone already knows anyway and we can take a test at the old elementary school if we need to,False,True,bad,,,
62,maybe we apply for funding to expand our tiny hospital and there is a demand for construction workers to build it out,False,False,good,,,
63,during this phase which will probably be most of june we can allow a relaxation of certain social distancing measures for those essential workers on the front lines,False,False,good,,,
64,we ll still have to cancel large gatherings but the group of expanded essential workers can safely visit and support each other,False,False,good,,,
65,we ll see restaurants that are currently doing takeout for the general population can be open to serve essential workers on site,False,False,good,,,
66,if there is any question of exposure there is enough tests to find out and the health resources to respond as necessary,False,False,good,,,
67,we ll see our friends and relatives in essential sectors go from stress and scared to secure and supported,False,False,good,,,
68,before long of the population is part of a smoothly working pandemic resilient economy and so we move on to phase three,False,False,good,,,
69,phase three is short and sweet,False,False,good,,,
70,it gets our workforce back to though some of us will still be working from home,False,False,good,,,
71,it lasts just a week or two and by the end there will be no corona induced unemployment,False,True,bad,,,
72,phase three is where non essential businesses like hair and nail salons work that cannot be done remotely will restart with safety precautions like public mask wearing,False,False,good,,,
73,maybe a friend reopens his hair salon giving priority to essential workers in his community like doctors and bus drivers,False,True,bad,,,
74,he knows they are able to get testing if there is a chance they have been exposed so that if any of his clients do test positive he will be informed by a contact tracer that he should get tested too in case,False,True,bad,,,
75,he makes sure to only have one client in his shop at a time and take special precautions to clean down surfaces between clients,False,True,bad,,,
76,office workers and mathematicians like me will still be working from home in phase three and asked not to go out for just this next week or two but now i can get a home visit from a hair colorist or a massage therapist,False,True,bad,,,
77,i ll leave the on location visits for the workers who do not have the at home job security i have just until we have ramped up our supplies to where we can move on to phase four,False,False,good,,,
78,phase three also increases support for the unemployed homeless and underhoused,False,False,good,,,
79,this phase is probably early july so i ll be looking to my county for guidance on whether it is safe to have a small fourth of july gathering maybe keeping our distance outside on the porch or following other recommendations,False,True,bad,,,
80,and then at the end of july we enter phase four,False,False,good,,,
81,the last of workers still working from home can start going to the office again,False,False,good,,,
82,you might start going in just a few days a week after taking a test covered by insurance and then working from home for the rest of the week while a different group of workers has in office days,False,True,bad,,,
83,some industries might face things differently and different offices will make different decisions based on guidance and resources,False,False,good,,,
84,we can plan for summer barbecues with our family and friends because we will have clear guidance about safety and access to tests,False,True,bad,,,
85,we can go to parks and go shopping wearing a mask without fear that coronavirus is lying in weight on every surface,False,False,good,,,
86,a restaurant owner in new york where tables are usually spaced close together might have to reduce capacity but they are happy to have office workers able to dine out again,False,True,bad,,,
87,in my town maybe most restaurants have enough space that folks can keep a safe distance at about the usual capacity,False,True,bad,,,
88,maybe our local club replaces the dance floor with safely spaced bar tables and they hire local performers to give live shows so that they can charge a cover to make up for reduced capacity,False,True,bad,,,
89,in phase four students can go back to school,False,False,good,,,
90,well it is probably summer vacation for most but some school districts might have summer classes where students can get out of the house and catch up on what they missed in spring,False,True,bad,,,
91,summer sports teams might have to get creative,False,True,bad,,,
92,football hockey and basketball coaches will be inventing and sharing drills that have reduced contact,False,True,bad,,,
93,parents might take turns attending games so that they can fill every other bleachers seat to maintain distance,False,False,good,,,
94,there s enough tests that professional sports organizations can pay to have players tested every day to identify cases before they can spread meaning,False,False,good,,,
95,you can expect to see televised sports again,False,False,good,,,
96,we ll have enough tests for educational institutions to be able to get additional testing support like maybe my cousins college dorm is pretty crowded so they can expect to test more frequently if they want to stay there,False,True,bad,,,
97,in phase four life enters a comfortable new normal for the year before a vaccine with communities receiving up to date information on what is safe and the economy coming back into full swing,False,False,good,,,
98,things will not be quite the same we will be wearing masks in public moving large events online and keeping a bit more distance than usual,False,False,good,,,
99,but some of our investments will benefit us in the long term like expanding our public transportation and health infrastructure,False,False,good,,,
100,our economy will be pandemic resilient not just for this pandemic but ready to hold strong against future attacks,False,False,good,,,
101,throughout these four phases we are going to see communities being empowered to find creative ways to reopen in ways that are safe legal and supported with the healthcare infrastructure they need to do testing,False,False,good,,,
102,trace those who have been exposed care for this sick and support those who must isolate at home,False,False,good,,,
103,so you might be wondering how do we get these resources available for states and local governments to use,False,False,good,,,
104,basically we need a pandemic testing board with strong but narrow powers to get the supply chain moving with to billion in funding over two years depending on how effectively we do contact tracing plus unexpanded health reserves,False,False,good,,,
105,it s a wartime level investment that we are more than capable of and it costs a lot less than repeatedly shutting down the economy in both lives and money,False,False,good,,,
106,we ve done our homework on this so check it out along with the body of supporting work if you are interested,False,True,bad,,,
107,and people across disciplines and ideologies agree on this plan,False,False,good,,,
108,we can do this,False,False,good,,,
109,you can do this,False,False,good,,,
110,connect with your communities look for ways to be involved or create them where you are,False,False,good,,,
111,this is for real and i ve never felt so encouraged and hopeful,False,False,good,,,
112,everyone i ve worked with on this project has jumped in to say what can i do,False,True,bad,,,
113,how can i help,False,False,good,,,
114,people who disagree on everything else and who would ordinarily refuse to be in a room together are working together on this,False,False,good,,,
115,in ways i would have never ever expected possible,False,False,good,,,
116,it s kind of miraculous and i wanted you to know i wanted you to know it is real that if you see it on the news with some big institutional names attached claiming all those good stuff about partnership and cooperation i ve been in the room with these folks i mean virtually in the room but you know and it is true,False,False,good,,,
117,people are working together,False,False,good,,,
118,they are deciding together that we can do this and we can,False,False,good,,,
119,if you are the hashtagging profile picturing type let me tell you hashtag how we reopen,False,True,bad,,,
120,we ve got icons to see the links below like pandemictesting org,False,True,bad,,,
121,let people know including your local leaders and elected officials that they should take a look at this report sooner rather than later,False,False,good,,,
122,i mean we have already got a lot of momentum but things are moving so fast with this pandemic,False,False,good,,,
123,we could use all the momentum we can get and i m pretty sure time is not obeying the laws of physics right now so yeah your help would be appreciated,False,False,good,,,
124,okay that is all for today,False,True,bad,,,
125,i send my best to you and i m looking forward to seeing the future you help create,False,False,good,,,
