text,humor,pred,result,good,bad,accuracy,precision,recall,F1
"Well, I can do so if I make one of the loops smaller and smaller, but at some point I have to make a corner, and then it becomes a circle.",False,False,good,,,,,,
Now that's not actually a good example.,False,True,bad,,,,,,
"Because if I had a third dimension, if I allow myself to just lift this up, then it would become a circle just smoothly.",False,False,good,,,,,,
So this is not a real example of exotic objects.,False,False,good,,,,,,
"In fact, I cannot show you exotic objects, because they don't exist in dimensions one, two, and three, in the dimensions that we can easily visualize.",False,False,good,,,,,,
They only start existing in dimension four and higher.,False,False,good,,,,,,
"The first examples were found in 1956 by a mathematician called John Melner, and they were found in dimension seven.",False,False,good,,,,,,
They are exotic hypersphere of seven dimensions.,False,False,good,,,,,,
"So there is some object on exotic sphere that you can deform into the ordinary seven-dimensional sphere, but not smoothly.",False,False,good,,,,,,
An exotic sphere is a smooth object that I can deform into a sphere.,False,False,good,,,,,,
But I cannot deform it smoothly.,False,False,good,,,,,,
I would have to make corners in the middle.,False,False,good,,,,,,
Let me show you now the numbers of spheres in each dimension.,False,False,good,,,,,,
"In dimension one, two, three, there's just one, the standard one.",False,False,good,,,,,,
The same goes in dimensions five and six.,False,False,good,,,,,,
"Now in dimension seven, we actually have 28 spheres.",False,False,good,,,,,,
"So there's the standard one, and then there are 27 different ones.",False,False,good,,,,,,
"Then we have two spheres in dimension eight, then eight, then six, then in dimension eleven, we have 992 spheres.",False,False,good,,,,,,
"In dimension twelve, we have just one, then three, then two, then sixteen thousand, then two hundred and fifty-six, and so on.",False,False,good,,,,,,
"If you look at the sequence of numbers, it looks strange.",False,False,good,,,,,,
"I grant you that, but there are some patterns.",False,False,good,,,,,,
"For example, in dimensions seven, eleven, fifteen, every four dimensions, you get a lot more exotic spheres than in the other nearby dimensions.",False,False,good,,,,,,
One thing you can ask is in what dimensions do exotics spheres exist?,False,False,good,,,,,,
And in what dimensions does just the standard one?,False,False,good,,,,,,
"We see that there's just one sphere in dimensions one, two, three, five, six, twelve, and also mathematicians figure it out.",False,False,good,,,,,,
The same is true in dimensions fifty-six and sixty-one.,False,False,good,,,,,,
"So does that mean if I was an object living in a sixty-one dimensional universe, it's a little bit more boring than some of the other ones?",True,False,bad,,,,,,
"That's right, yes, these are the boring dimensions, you don't have exotic spheres.",True,True,good,,,,,,
"Although you do have some other exotic objects in these dimensions, just not spheres.",False,False,good,,,,,,
These numbers seem so arbitrary.,False,False,good,,,,,,
I assume it's impossible for someone to easily explain why it's certain numbers that are boring and other ones that are hyper exotic.,False,False,good,,,,,,
"These numbers are hard to compute, does a whole story involving Bernoulli numbers and homotopic groups of spheres.",False,False,good,,,,,,
The most interesting thing about them is that we can compute them in any dimension except in dimension four.,False,False,good,,,,,,
That's where I left question mark.,False,True,bad,,,,,,
That's the biggest mystery.,False,False,good,,,,,,
It's one of the most famous open problems in topology.,False,False,good,,,,,,
"It's called the four-dimensional smooth-point-correct conjecture, which says that there are no exotic spheres in dimension four.",False,False,good,,,,,,
But we don't know that for sure yet.,False,False,good,,,,,,
We don't know.,False,False,good,,,,,,
There are examples of objects that are smooth and you can deform them into the ordinary four-dimensional sphere by introducing corners.,False,False,good,,,,,,
But people don't know if you can do that smoothly or not.,False,False,good,,,,,,
I have also looked for exotic four-dimensional sphere myself and I couldn't find any.,False,True,bad,,,,,,
"If you did, would you become a very famous mathematician?",False,False,good,,,,,,
Absolutely.,False,True,bad,,,,,,
Is it not like a millennium problem?,False,True,bad,,,,,,
Is it anything or is it?,False,True,bad,,,,,,
"No, there was a similar conjecture in dimension three, the Poin-correct conjecture.",False,False,good,,,,,,
That was the one problem in topology among my millennium problems that was solved by Peralman in 2003.,False,False,good,,,,,,
And I think now the most famous remaining open problem in topology is this one about dimension four.,False,False,good,,,,,,
But it hasn't yet made it to the list of millennium problems.,False,False,good,,,,,,
"Professor, don't waste your time making numberphile videos.",True,True,good,,,,,,
You need to go upstairs and solve this problem.,True,False,bad,,,,,,
"Numberphile videos are important, too.",True,False,bad,,,,,,
All right.,False,True,bad,,,,,,
So why is dimension four so difficult?,False,False,good,,,,,,
Good question.,False,True,bad,,,,,,
"Well, it's more difficult than the lower dimensions.",False,False,good,,,,,,
"One, two, three becomes in those dimensions we can see things.",False,False,good,,,,,,
And there are also geometric techniques that mathematicians use to study shapes in these dimensions.,False,False,good,,,,,,
"What's interesting is that it's also simpler than dimensions five, six, and greater.",False,False,good,,,,,,
And the reason for that is a trick about separating disks.,False,False,good,,,,,,
"To explain it, let me say one way in which topologists distinguish between shapes.",False,False,good,,,,,,
"If I have a lasso and I throw it somewhere on the plane or even on the surface of the earth, which is a sphere, it would surround a region.",False,False,good,,,,,,
So I could just contract it into a blob around a little point.,False,True,bad,,,,,,
"But if I have the same lasso and I would put it around the surface around the hole in a donut, then I wouldn't be able to contract it without breaking the donut.",False,True,bad,,,,,,
And that's one way you can tell the donut apart from the sphere.,False,False,good,,,,,,
"So to study these objects, mathematicians are looking at loops and how you contract them.",False,False,good,,,,,,
And the contraction spans a disk.,False,False,good,,,,,,
A disk is a two-dimensional object.,False,False,good,,,,,,
And it's easier to study these objects if you can split apart the disks so that you can study each complication one at a time.,False,False,good,,,,,,
"All right, how can you split apart disks?",False,True,bad,,,,,,
"Well, let me start with lines.",False,True,bad,,,,,,
"If I have two lines and they're on the plane and they intersect, if I move one a little bit, I'm not going to be able to take it off the other.",False,False,good,,,,,,
But I can take it off if I allow myself to go into space.,False,False,good,,,,,,
The reason is that three is greater than one plus one.,False,False,good,,,,,,
"Each line is a one-dimensional object and one plus one is two, but I have one extra dimension.",False,False,good,,,,,,
And that's why I can do it.,False,False,good,,,,,,
"Similarly, if I'm interested in separating disks, each disk is a two-dimensional object and two plus two is four, so I need one extra dimension.",False,False,good,,,,,,
"So in dimensions five and higher, I can separate disks.",False,False,good,,,,,,
And that just makes topological objects easier to study.,False,False,good,,,,,,
This is called the Whitney trick and it led to the classification of smooth manifolds in higher dimensions back in the 60s.,False,False,good,,,,,,
And this is the problem with dimension four.,False,False,good,,,,,,
"You can't, in dimension four, you haven't got the space to separate two disks.",False,False,good,,,,,,
That's right.,False,True,bad,,,,,,
We don't have the geometric methods from lower dimensions and we don't have the trick about separating disks.,False,False,good,,,,,,
And that makes dimension four the hardest to wrap our heads around.,False,False,good,,,,,,
"To give you an example of something that's unique to dimension four, instead of looking at exotic spheres, let's look at exotic hyperspaces.",False,False,good,,,,,,
"Remember, we had the line and then the plane and then the space.",False,False,good,,,,,,
"And in end dimensions, we have the hyperspace.",False,False,good,,,,,,
So could you have an exotic hyperspace?,False,True,bad,,,,,,
"Something that looks like a plane or a space and you can deform it into the ordinary one, but only by making corners.",False,False,good,,,,,,
Here are the numbers of hyperspaces in each dimension.,False,False,good,,,,,,
"In any dimension except four, there is just one.",False,False,good,,,,,,
There's just a standard one and there are no exotic hyperspaces.,False,False,good,,,,,,
"But in dimension four, we have infinitely many.",False,False,good,,,,,,
"In fact, it's more than infinitely many.",False,False,good,,,,,,
It's uncountably many.,False,False,good,,,,,,
"It's not the kind of infinity that you can count, one, two, three and so on.",False,False,good,,,,,,
It's as many exotic hyperspaces as there are real numbers.,False,False,good,,,,,,
And this doesn't happen in any other dimensions.,False,False,good,,,,,,
"If you have exotic objects in some other dimensions, you know that there are always finitely many of them.",False,False,good,,,,,,
"There's finitely many exotic spheres, so as I showed you that list of numbers.",False,False,good,,,,,,
"But in dimension four, you can have infinitely many exotic objects.",False,False,good,,,,,,
"And yeah, that's what makes dimension four so fascinating.",False,False,good,,,,,,
Does this mean dimension four is something that you should be spending more time on because it's so special?,False,False,good,,,,,,
Or is this a sign that maybe this is a bit of an aberration that you should leave alone?,False,False,good,,,,,,
It's a place where you shouldn't play.,False,False,good,,,,,,
That depends on your own perspective.,False,False,good,,,,,,
There are mathematicians who work on the other dimensions.,False,False,good,,,,,,
And there are mathematicians that work on dimension four.,False,False,good,,,,,,
I'm in the latter category.,False,False,good,,,,,,
"Because quite often when I speak to number theorists, and they talk to me about prime numbers, and they're showing me some interesting property of prime numbers, they very often discard two.",False,False,good,,,,,,
"They say, we're not going to use two because that's an aberration.",False,False,good,,,,,,
And it ruins everything.,False,False,good,,,,,,
It ruins all our laws and principles on that.,False,False,good,,,,,,
And they just throw it aside.,False,False,good,,,,,,
It sounds like the fourth dimension is your equivalent.,False,False,good,,,,,,
That's pretty much it.,False,True,bad,,,,,,
"In many theorems, you say this is happening in all dimensions except four.",False,False,good,,,,,,
And we understand what's happening.,False,False,good,,,,,,
And we just don't know what's happening in dimension four.,False,False,good,,,,,,
But I find that interesting and worthy of study.,False,False,good,,,,,,
