Unnamed: 0,text,humor,pred,result,good,bad,accuracy,precision,recall,F1
51,that the sphere is a two dimensional manifold even though it lives in three dimensional space,False,False,good,,,,,,
52,ok other examples of two dimensional manifolds would be the surface of the donut,False,False,good,,,,,,
53,or this famous klein bottle,False,False,good,,,,,,
54,yes if i live on it again i would not be able to tell the difference from a plane,False,False,good,,,,,,
55,just like it is pretty hard to tell the difference between a plane and the earth the sphere from where we are,False,False,good,,,,,,
56,to really tell them apart you would have to go far away and see that you come back,False,False,good,,,,,,
57,there are also one dimensional manifolds,False,False,good,,,,,,
58,like the circle right here,False,False,good,,,,,,
59,it s a one dimensional manifold,False,False,good,,,,,,
60,if we only lived on the circle then we would only have one direction in which to move in,False,False,good,,,,,,
61,and then there are three dimensional manifolds like our ordinary space or the universe,False,False,good,,,,,,
62,around every point it looks like we have three dimensions to go into,False,False,good,,,,,,
63,we also have the bottom and top,False,False,good,,,,,,
64,but we actually do not know the shape of the universe,False,False,good,,,,,,
65,it s a three dimensional manifold,False,False,good,,,,,,
66,it could be hyperspace but it could be what is called a three dimensional hypersphere,False,False,good,,,,,,
67,perhaps if we go very high up then we would come back to where we are,False,False,good,,,,,,
68,nobody has done that but we do not know if it is possible or not,False,False,good,,,,,,
69,just like on the surface of the earth when you go around you come back,False,False,good,,,,,,
70,so we just know it is a three dimensional manifold,False,False,good,,,,,,
71,is there no way to test for that,False,False,good,,,,,,
72,it s strange that we could not know that even the one we are living in the one we are living and breathing in,False,False,good,,,,,,
73,that is the only way to test to walk forever and see if i come back,False,False,good,,,,,,
74,no there are other ways,False,False,good,,,,,,
75,people are looking at the cosmic microwave background radiation,False,False,good,,,,,,
76,and they have put forward various theories about what the shape of the universe is,False,False,good,,,,,,
77,but there is no definite theory that everyone accepts,False,False,good,,,,,,
78,it s not yet known what shape it is,False,False,good,,,,,,
79,but there are some hints from the universe,False,False,good,,,,,,
80,ok so we have three dimensional objects and then we can think about four dimensionals and so on,False,False,good,,,,,,
81,a good example is this hypersphere,False,False,good,,,,,,
82,so in dimension one we have the circle which is a one dimensional manifold and it is the set of points at the given distance from the origin,False,False,good,,,,,,
83,it s given by the equation x squared plus y squared equals one,False,False,good,,,,,,
84,similarly we have this sphere which is again the set of points at distance one from a given point but it lives in three dimensional space and it is given by the equation x squared plus y squared plus z squared equals one,False,False,good,,,,,,
85,and we can generalize this,False,False,good,,,,,,
86,we can talk about the n dimensional hypersphere which is given by the equation x squared plus dot dot dot plus xn squared plus another variable xn plus one squared equals one,False,False,good,,,,,,
87,it lives in n plus one dimensional space and it is an n dimensional manifold,False,False,good,,,,,,
88,now i m getting to the crux of the matter the exotic objects,False,False,good,,,,,,
89,what are exotic objects,False,False,good,,,,,,
90,these are things that are topologically the same but are smoothly different,False,False,good,,,,,,
91,so there are two ways of thinking about the formations in topology,False,False,good,,,,,,
92,i showed you before that a circle can be turned into a square and in the process of course you have to make a corner,False,False,good,,,,,,
93,now the circle is smooth and you can turn it into other smooth curves like maybe something like an elix and the process would be smooth,False,False,good,,,,,,
94,now could it be that we have two smooth objects and you can deform one into the other but the only way to do so is by making corners somewhere in the middle,False,False,good,,,,,,
95,then those objects would be topologically the same but smoothly different,False,False,good,,,,,,
96,and i do not know if you are more familiar with one of the objects you would say that the second one is an exotic copy of the other one,False,False,good,,,,,,
97,it s like if you live on the first object and you go to the second one it is like going to an exotic location,False,False,good,,,,,,
98,some things are the same but some things are just different,False,False,good,,,,,,
99,now how can this be,False,False,good,,,,,,
100,how can you have two smooth things but to deform one into the other you need to make corners,False,False,good,,,,,,
101,here is an example,False,False,good,,,,,,
102,we have a figure eight and can i turn it into a circle,False,False,good,,,,,,
103,well i can do so if i make one of the loops smaller and smaller but at some point i have to make a corner and then it becomes a circle,False,False,good,,,,,,
104,now that is not actually a good example,False,False,good,,,,,,
105,because if i had a third dimension if i allow myself to just lift this up then it would become a circle just smoothly,False,False,good,,,,,,
106,so this is not a real example of exotic objects,False,False,good,,,,,,
107,in fact i cannot show you exotic objects because they do not exist in dimensions one two and three in the dimensions that we can easily visualize,False,False,good,,,,,,
108,they only start existing in dimension four and higher,False,False,good,,,,,,
109,the first examples were found in by a mathematician called john melner and they were found in dimension seven,False,False,good,,,,,,
110,they are exotic hypersphere of seven dimensions,False,False,good,,,,,,
111,so there is some object on exotic sphere that you can deform into the ordinary seven dimensional sphere but not smoothly,False,False,good,,,,,,
112,an exotic sphere is a smooth object that i can deform into a sphere,False,False,good,,,,,,
113,but i cannot deform it smoothly,False,False,good,,,,,,
114,i would have to make corners in the middle,False,False,good,,,,,,
115,let me show you now the numbers of spheres in each dimension,False,False,good,,,,,,
116,in dimension one two three there is just one the standard one,False,False,good,,,,,,
117,the same goes in dimensions five and six,False,False,good,,,,,,
118,now in dimension seven we actually have spheres,False,False,good,,,,,,
119,so there is the standard one and then there are different ones,False,False,good,,,,,,
120,then we have two spheres in dimension eight then eight then six then in dimension eleven we have spheres,False,False,good,,,,,,
121,in dimension twelve we have just one then three then two then sixteen thousand then two hundred and fifty six and so on,False,False,good,,,,,,
122,if you look at the sequence of numbers it looks strange,False,False,good,,,,,,
123,i grant you that but there are some patterns,False,False,good,,,,,,
124,for example in dimensions seven eleven fifteen every four dimensions you get a lot more exotic spheres than in the other nearby dimensions,False,False,good,,,,,,
125,one thing you can ask is in what dimensions do exotics spheres exist,False,False,good,,,,,,
126,and in what dimensions does just the standard one,False,False,good,,,,,,
127,we see that there is just one sphere in dimensions one two three five six twelve and also mathematicians figure it out,False,False,good,,,,,,
128,the same is true in dimensions fifty six and sixty one,False,False,good,,,,,,
129,so does that mean if i was an object living in a sixty one dimensional universe it is a little bit more boring than some of the other ones,True,False,bad,,,,,,
130,that s right yes these are the boring dimensions you do not have exotic spheres,True,False,bad,,,,,,
131,although you do have some other exotic objects in these dimensions just not spheres,False,False,good,,,,,,
132,these numbers seem so arbitrary,False,False,good,,,,,,
133,i assume it is impossible for someone to easily explain why it is certain numbers that are boring and other ones that are hyper exotic,False,False,good,,,,,,
134,these numbers are hard to compute does a whole story involving bernoulli numbers and homotopic groups of spheres,False,False,good,,,,,,
135,the most interesting thing about them is that we can compute them in any dimension except in dimension four,False,False,good,,,,,,
136,that s where i left question mark,False,False,good,,,,,,
137,that s the biggest mystery,False,False,good,,,,,,
138,it s one of the most famous open problems in topology,False,False,good,,,,,,
139,it s called the four dimensional smooth point correct conjecture which says that there are no exotic spheres in dimension four,False,False,good,,,,,,
140,but we do not know that for sure yet,False,False,good,,,,,,
141,we do not know,False,False,good,,,,,,
142,there are examples of objects that are smooth and you can deform them into the ordinary four dimensional sphere by introducing corners,False,False,good,,,,,,
143,but people do not know if you can do that smoothly or not,False,False,good,,,,,,
144,i have also looked for exotic four dimensional sphere myself and i could not find any,False,False,good,,,,,,
145,if you did would you become a very famous mathematician,False,False,good,,,,,,
146,absolutely,False,False,good,,,,,,
147,is it not like a millennium problem,False,False,good,,,,,,
148,is it anything or is it,False,False,good,,,,,,
149,no there was a similar conjecture in dimension three the poin correct conjecture,False,False,good,,,,,,
150,that was the one problem in topology among my millennium problems that was solved by peralman in,False,False,good,,,,,,
151,and i think now the most famous remaining open problem in topology is this one about dimension four,False,False,good,,,,,,
152,but it has not yet made it to the list of millennium problems,False,False,good,,,,,,
153,professor do not waste your time making numberphile videos,True,True,good,,,,,,
154,you need to go upstairs and solve this problem,True,False,bad,,,,,,
155,numberphile videos are important too,True,False,bad,,,,,,
156,all right,False,False,good,,,,,,
157,so why is dimension four so difficult,False,False,good,,,,,,
158,good question,False,False,good,,,,,,
159,well it is more difficult than the lower dimensions,False,False,good,,,,,,
160,one two three becomes in those dimensions we can see things,False,False,good,,,,,,
161,and there are also geometric techniques that mathematicians use to study shapes in these dimensions,False,False,good,,,,,,
162,what s interesting is that it is also simpler than dimensions five six and greater,False,False,good,,,,,,
163,and the reason for that is a trick about separating disks,False,False,good,,,,,,
164,to explain it let me say one way in which topologists distinguish between shapes,False,False,good,,,,,,
165,if i have a lasso and i throw it somewhere on the plane or even on the surface of the earth which is a sphere it would surround a region,False,False,good,,,,,,
166,so i could just contract it into a blob around a little point,False,False,good,,,,,,
167,but if i have the same lasso and i would put it around the surface around the hole in a donut then i would not be able to contract it without breaking the donut,False,False,good,,,,,,
168,and that is one way you can tell the donut apart from the sphere,False,False,good,,,,,,
169,so to study these objects mathematicians are looking at loops and how you contract them,False,False,good,,,,,,
170,and the contraction spans a disk,False,False,good,,,,,,
171,a disk is a two dimensional object,False,False,good,,,,,,
172,and it is easier to study these objects if you can split apart the disks so that you can study each complication one at a time,False,False,good,,,,,,
173,all right how can you split apart disks,False,False,good,,,,,,
174,well let me start with lines,False,False,good,,,,,,
175,if i have two lines and they are on the plane and they intersect if i move one a little bit i m not going to be able to take it off the other,False,False,good,,,,,,
176,but i can take it off if i allow myself to go into space,False,False,good,,,,,,
177,the reason is that three is greater than one plus one,False,False,good,,,,,,
178,each line is a one dimensional object and one plus one is two but i have one extra dimension,False,False,good,,,,,,
179,and that is why i can do it,False,False,good,,,,,,
180,similarly if i m interested in separating disks each disk is a two dimensional object and two plus two is four so i need one extra dimension,False,False,good,,,,,,
181,so in dimensions five and higher i can separate disks,False,False,good,,,,,,
182,and that just makes topological objects easier to study,False,False,good,,,,,,
183,this is called the whitney trick and it led to the classification of smooth manifolds in higher dimensions back in the s,False,False,good,,,,,,
184,and this is the problem with dimension four,False,False,good,,,,,,
185,you can t in dimension four you have not got the space to separate two disks,False,False,good,,,,,,
186,that s right,False,False,good,,,,,,
187,we do not have the geometric methods from lower dimensions and we do not have the trick about separating disks,False,False,good,,,,,,
188,and that makes dimension four the hardest to wrap our heads around,False,False,good,,,,,,
189,to give you an example of something that is unique to dimension four instead of looking at exotic spheres let us look at exotic hyperspaces,False,False,good,,,,,,
190,remember we had the line and then the plane and then the space,False,False,good,,,,,,
191,and in end dimensions we have the hyperspace,False,False,good,,,,,,
192,so could you have an exotic hyperspace,False,False,good,,,,,,
193,something that looks like a plane or a space and you can deform it into the ordinary one but only by making corners,False,False,good,,,,,,
194,here are the numbers of hyperspaces in each dimension,False,False,good,,,,,,
195,in any dimension except four there is just one,False,False,good,,,,,,
196,there s just a standard one and there are no exotic hyperspaces,False,False,good,,,,,,
197,but in dimension four we have infinitely many,False,False,good,,,,,,
198,in fact it is more than infinitely many,False,False,good,,,,,,
199,it s uncountably many,False,False,good,,,,,,
200,it s not the kind of infinity that you can count one two three and so on,False,False,good,,,,,,
201,it s as many exotic hyperspaces as there are real numbers,False,False,good,,,,,,
202,and this does not happen in any other dimensions,False,False,good,,,,,,
203,if you have exotic objects in some other dimensions you know that there are always finitely many of them,False,False,good,,,,,,
204,there s finitely many exotic spheres so as i showed you that list of numbers,False,False,good,,,,,,
205,but in dimension four you can have infinitely many exotic objects,False,False,good,,,,,,
206,and yeah that is what makes dimension four so fascinating,False,False,good,,,,,,
207,does this mean dimension four is something that you should be spending more time on because it is so special,False,False,good,,,,,,
208,or is this a sign that maybe this is a bit of an aberration that you should leave alone,False,False,good,,,,,,
209,it s a place where you should not play,False,False,good,,,,,,
210,that depends on your own perspective,False,False,good,,,,,,
211,there are mathematicians who work on the other dimensions,False,False,good,,,,,,
212,and there are mathematicians that work on dimension four,False,False,good,,,,,,
213,i m in the latter category,False,False,good,,,,,,
214,because quite often when i speak to number theorists and they talk to me about prime numbers and they are showing me some interesting property of prime numbers they very often discard two,False,False,good,,,,,,
215,they say we are not going to use two because that is an aberration,False,False,good,,,,,,
216,and it ruins everything,False,False,good,,,,,,
217,it ruins all our laws and principles on that,False,False,good,,,,,,
218,and they just throw it aside,False,False,good,,,,,,
219,it sounds like the fourth dimension is your equivalent,False,False,good,,,,,,
220,that s pretty much it,False,False,good,,,,,,
221,in many theorems you say this is happening in all dimensions except four,False,False,good,,,,,,
222,and we understand what is happening,False,False,good,,,,,,
223,and we just do not know what is happening in dimension four,False,False,good,,,,,,
224,but i find that interesting and worthy of study,False,False,good,,,,,,
