Unnamed: 0,text,humor,pred,result,good,bad,accuracy
39,Notice how the quad lost altitude when I put this glass of water on it.,,True,bad,,,
40,"Unlike the balancing pole, I did not include the mathematical model of the glass in the system.",,False,bad,,,
41,"In fact, the system doesn't even know that the glass is there.",,True,bad,,,
42,"Like before, I could use the pointer to tell the quad where I want it to be in space.",,True,bad,,,
43,(Applause ends),,True,bad,,,
44,"Okay, you should be asking yourself, why doesn't the water fall out of the glass?",,True,bad,,,
45,Two facts.,,False,bad,,,
46,The first is that gravity acts on all objects in the same way.,,False,bad,,,
47,"The second is that the propellers are all pointing in the same direction of the glass, pointing up.",,False,bad,,,
48,"You put these two things together, the net result is that all side forces on the glass are small and are mainly dominated by aerodynamic effects, which at these speeds are negligible.",,False,bad,,,
49,And that's why you don't need to model the glass.,,False,bad,,,
50,"It naturally doesn't spill, no matter what the quad does.",,True,bad,,,
51,(Audience),,True,bad,,,
52,Oh!,,True,bad,,,
53,(Applause ends),,True,bad,,,
54,"The lesson here is that some high-performance tasks are easier than others, and that understanding the physics of the problem tells you which ones are easy and which ones are hard.",,False,bad,,,
55,"In this instance, carrying a glass of water is easy.",,False,bad,,,
56,Balancing a pole is hard.,,True,bad,,,
57,We've all heard stories of athletes performing feats while physically injured.,,False,bad,,,
58,Can a machine also perform with extreme physical damage?,,False,bad,,,
59,"Conventional wisdom says that you need at least four fixed motor propeller pairs in order to fly, because there are four degrees of freedom to control: roll, pitch, yaw and acceleration.",,False,bad,,,
60,"Hexacopters and octocopters, with six and eight propellers, can provide redundancy, but quadrocopters are much more popular because they have the minimum number of fixed motor propeller pairs: four.",,False,bad,,,
61,Or do they?,,True,bad,,,
62,(Audience),,True,bad,,,
63,Oh!,,True,bad,,,
64,(Laughter),,True,bad,,,
65,"If we analyze the mathematical model of this machine with only two working propellers, we discover that there's an unconventional way to fly it.",,False,bad,,,
66,"We relinquish control of yaw, but roll, pitch and acceleration can still be controlled with algorithms that exploit this new configuration.",,False,bad,,,
67,Mathematical models tell us exactly when and why this is possible.,,False,bad,,,
68,"In this instance, this knowledge allows us to design novel machine architectures or to design clever algorithms that gracefully handle damage, just like human athletes do, instead of building machines with redundancy.",,False,bad,,,
69,"We can't help but hold our breath when we watch a diver somersaulting into the water, or when a vaulter is twisting in the air, the ground fast approaching.",,False,bad,,,
70,Will the diver be able to pull off a rip entry?,,False,bad,,,
71,Will the vaulter stick the landing?,,True,bad,,,
72,Suppose we want this quad here to perform a triple flip and finish off at the exact same spot that it started.,,False,bad,,,
73,This maneuver is going to happen so quickly that we can't use position feedback to correct the motion during execution.,,True,bad,,,
74,There simply isn't enough time.,,False,bad,,,
75,"Instead, what the quad can do is perform the maneuver blindly, observe how it finishes the maneuver, and then use that information to modify its behavior so that the next flip is better.",,True,bad,,,
76,"Similar to the diver and the vaulter, it is only through repeated practice that the maneuver can be learned and executed to the highest standard.",,True,bad,,,
77,(Laughter),,True,bad,,,
78,Striking a moving ball is a necessary skill in many sports.,,False,bad,,,
79,How do we make a machine do what an athlete does seemingly without effort?,,False,bad,,,
80,(Laughter)  (Applause ends),,True,bad,,,
81,"This quad has a racket strapped onto its head with a sweet spot roughly the size of an apple, so not too large.",,True,bad,,,
82,"The following calculations are made every 20 milliseconds, or 50 times per second.",,False,bad,,,
83,We first figure out where the ball is going.,,False,bad,,,
84,We then next calculate how the quad should hit the ball so that it flies to where it was thrown from.,,True,bad,,,
85,"Third, a trajectory is planned that carries the quad from its current state to the impact point with the ball.",,False,bad,,,
86,"Fourth, we only execute 20 milliseconds' worth of that strategy.",,True,bad,,,
87,"Twenty milliseconds later, the whole process is repeated until the quad strikes the ball.",,True,bad,,,
88,"Machines can not only perform dynamic maneuvers on their own, they can do it collectively.",,False,bad,,,
89,These three quads are cooperatively carrying a sky net.,,False,bad,,,
90,(Applause ends),,True,bad,,,
91,They perform an extremely dynamic and collective maneuver to launch the ball back to me.,,True,bad,,,
92,"Notice that, at full extension, these quads are vertical.",,False,bad,,,
93,"In fact, when fully extended, this is roughly five times greater than what a bungee jumper feels at the end of their launch.",,True,bad,,,
94,The algorithms to do this are very similar to what the single quad used to hit the ball back to me.,,True,bad,,,
95,Mathematical models are used to continuously re-plan a cooperative strategy 50 times per second.,,False,bad,,,
96,Everything we have seen so far has been about the machines and their capabilities.,,False,bad,,,
97,What happens when we couple this machine athleticism with that of a human being?,,True,bad,,,
98,What I have in front of me is a commercial gesture sensor mainly used in gaming.,,True,bad,,,
99,It can recognize what my various body parts are doing in real time.,,False,bad,,,
100,"Similar to the pointer that I used earlier, we can use this as inputs to the system.",,False,bad,,,
101,We now have a natural way of interacting with the raw athleticism of these quads with my gestures.,,False,bad,,,
102,Interaction doesn't have to be virtual.,,False,bad,,,
103,It can be physical.,,False,bad,,,
104,"Take this quad, for example.",,False,bad,,,
105,It's trying to stay at a fixed point in space.,,False,bad,,,
106,"If I try to move it out of the way, it fights me, and moves back to where it wants to be.",,False,bad,,,
107,"We can change this behavior, however.",,False,bad,,,
108,We can use mathematical models to estimate the force that I'm applying to the quad.,,False,bad,,,
109,"Once we know this force, we can also change the laws of physics, as far as the quad is concerned, of course.",,True,bad,,,
110,"Here, the quad is behaving as if it were in a viscous fluid.",,False,bad,,,
111,We now have an intimate way of interacting with a machine.,,False,bad,,,
112,I will use this new capability to position this camera-carrying quad to the appropriate location for filming the remainder of this demonstration.,,True,bad,,,
113,So we can physically interact with these quads and we can change the laws of physics.,,False,bad,,,
114,Let's have a little bit of fun with this.,,True,bad,,,
115,"For what you will see next, these quads will initially behave as if they were on Pluto.",,True,bad,,,
116,"As time goes on, gravity will be increased until we're all back on planet Earth, but I assure you we won't get there.",,True,bad,,,
117,"Okay, here goes.",,True,bad,,,
118,(Laughter) (Laughter),,True,bad,,,
119,Whew!,1.0,True,good,,,
120,"You're all thinking now, these guys are having way too much fun, and you're probably also asking yourself, why exactly are they building machine athletes?",,True,bad,,,
121,Some conjecture that the role of play in the animal kingdom is to hone skills and develop capabilities.,,False,bad,,,
122,"Others think that it has more of a social role, that it's used to bind the group.",,False,bad,,,
123,"Similarly, we use the analogy of sports and athleticism to create new algorithms for machines to push them to their limits.",,False,bad,,,
124,What impact will the speed of machines have on our way of life?,,False,bad,,,
125,"Like all our past creations and innovations, they may be used to improve the human condition or they may be misused and abused.",,False,bad,,,
126,This is not a technical choice we are faced with; it's a social one.,,False,bad,,,
127,"Let's make the right choice, the choice that brings out the best in the future of machines, just like athleticism in sports can bring out the best in us.",,False,bad,,,
128,Let me introduce you to the wizards behind the green curtain.,,True,bad,,,
129,They're the current members of the Flying Machine Arena research team.,,True,bad,,,
130,"Federico Augugliaro, Dario Brescianini, Markus Hehn, Sergei Lupashin, Mark Muller and Robin Ritz.",,False,bad,,,
131,Look out for them.,,False,bad,,,
132,They're destined for great things.,,False,bad,,,
133,Thank you.,,False,bad,,,
0,Thank you so much.,,False,bad,,,
1,I am a journalist.,,False,bad,,,
2,"My job is to talk to people from all walks of life, all over the world.",,False,bad,,,
3,"Today, I want to tell you why I decided to do this with my life and what I've learned.",,False,bad,,,
4,"My story begins in Caracas, Venezuela, in South America, where I grew up; a place that to me was, and always will be, filled with magic and wonder.",,False,bad,,,
5,"Frоm a very young age, my parents wanted me to have a wider view of the world.",,False,bad,,,
6,"I remember one time when I was around seven years old, my dad came up to me and said, ""Mariana, I'm going to send you and your little sister..."" - who was six at the time - ""...to a place where nobody speaks Spanish.",,True,bad,,,
7,"I want you to experience different cultures.""",,False,bad,,,
8,"He went on and on about the benefits of spending an entire summer in this summer camp in the United States, stressing a little phrase that I didn't pay too much attention to at the time: ""You never know what the future holds.""",,True,bad,,,
9,"Meanwhile, in my seven-year-old mind, I was thinking, we were going to get to summer camp in Miami.",,False,bad,,,
10,"(Laughter) Maybe it was going to be even better, and we were going to go a little further north, to Orlando, where Mickey Mouse lived.",1.0,True,good,,,
11,(Laughter) I got really excited.,1.0,True,good,,,
12,"My dad, however, had a slightly different plan.",,True,bad,,,
13,"Frоm Caracas, he he sent us to Brainerd, Minnesota.",,False,bad,,,
14,"(Laughter) Mickey Mouse was not up there, (Laughter) and with no cell phone, no Snapchat, or Instagram, I couldn't look up any information.",1.0,True,good,,,
15,"We got there, and one of the first things I noticed was that the other kids' hair was several shades of blonde, and most of them had blue eyes.",,False,bad,,,
16,"Meanwhile, this is what we looked like.",,True,bad,,,
17,"The first night, the camp director gathered everyone around the campfire and said, ""Kids, we have a very international camp this year; the Atencios are here from Venezuela.""",1.0,True,good,,,
18,(Laughter),,True,bad,,,
19,The other kids looked at us as if we were from another planet.,,True,bad,,,
20,"They would ask us things like, ""Do you know what a hamburger is?""",,True,bad,,,
21,"Or, ""Do you go to school on a donkey or a canoe?"" (Laughter) I would try to answer in my broken English, and they would just laugh.",1.0,True,good,,,
22,"I know they were not trying to be mean; they were just trying to understand who we were, and make a correlation with the world they knew.",,False,bad,,,
23,"We could either be like them, or like characters out of a book filled with adventures, like Aladdin or the Jungle Book.",,False,bad,,,
24,"We certainly didn't look like them, we didn't speak their language, we were different.",,False,bad,,,
25,"When you're seven years old, that hurts.",,True,bad,,,
26,"But I had my little sister to take care of, and she cried every day at summer camp.",,False,bad,,,
27,"So I decided to put on a brave face, and embrace everything I could about the American way of life.",,False,bad,,,
28,"We later did what we called ""the summer camp experiment,"" for eight years in different cities that many Americans haven't even heard of.",,False,bad,,,
29,What I remember most about these moments was when I finally clicked with someone.,,True,bad,,,
30,Making a friend was a special reward.,,False,bad,,,
31,"Everybody wants to feel valued and accepted, and we think it should happen spontaneously, but it doesn't.",,False,bad,,,
32,"When you're different, you have to work at belonging.",,False,bad,,,
33,"You have to be either really helpful, smart, funny, anything to be cool for the crowd you want to hang out with.",,False,bad,,,
34,"Later on, when I was in high school, my dad expanded on his summer plan, and from Caracas he sent me to Wallingford, Connecticut, for the senior year of high school.",,False,bad,,,
35,"This time, I remember daydreaming on the plane about ""the American high school experience"" - with a locker.",,True,bad,,,
36,"It was going to be perfect, just like in my favorite TV show: ""Saved by the Bell."" (Laughter) I get there, and they tell me that my assigned roommate is eagerly waiting.",1.0,True,good,,,
37,"I opened the door, and there she was, sitting on the bed, with a headscarf.",,False,bad,,,
38,"Her name was Fatima, and she was Muslim from Bahrain, and she was not what I expected.",,True,bad,,,
39,She probably sensed my disappointment when I looked at her because I didn't do too much to hide it.,,True,bad,,,
40,"See, as a teenager, I wanted to fit in even more, I wanted to be popular, maybe have a boyfriend for prom, and I felt that Fatima just got in the way with her shyness and her strict dress code.",,False,bad,,,
41,I didn't realize that I was making her feel like the kids at summer camp made me feel.,,True,bad,,,
42,"This was the high school equivalent of asking her, ""Do you know what a hamburger is?""",,True,bad,,,
43,I was consumed by my own selfishness and unable to put myself in her shoes.,,False,bad,,,
44,"I have to be honest with you, we only lasted a couple of months together, because she was later sent to live with a counselor instead of other students.",,True,bad,,,
45,"I remember thinking, ""Ah, she'll be okay.",,False,bad,,,
46,"She's just different.""",,True,bad,,,
47,"You see, when we label someone as different, it dehumanizes them in a way.",,False,bad,,,
48,"They become ""the other.""",,True,bad,,,
49,"They're not worthy of our time, not our problem, and in fact, they, ""the other,"" are probably the cause of our problems.",,False,bad,,,
50,"So, how do we recognize our blind spots?",,True,bad,,,
51,"It begins by understanding what makes you different, by embracing those traits.",,False,bad,,,
52,Only then can you begin to appreciate what makes others special.,,False,bad,,,
53,I remember when this hit me.,,False,bad,,,
54,It was a couple months after that.,,True,bad,,,
55,"I had found that boyfriend for prom, made a group of friends, and practically forgotten about Fatima, until everybody signed on to participate in this talent show for charity.",,False,bad,,,
56,You needed to offer a talent for auction.,,False,bad,,,
57,It seemed like everybody had something special to offer.,,False,bad,,,
58,"Some kids were going to play the violin, others were going to recite a theater monologue, and I remember thinking, ""We don't practice talents like these back home.""",,False,bad,,,
59,But I was determined to find something of value.,,False,bad,,,
60,"The day of the talent show comes, and I get up on stage with my little boom box, and put it on the side and press ""Play,"" and a song by my favorite emerging artist, Shakira, comes up.",,False,bad,,,
61,"And I go, ""Whenever, wherever, we're meant to be together,"" and I said, ""My name is Mariana, and I'm going to auction a dance class.""",,True,bad,,,
62,It seemed like the whole school raised their hand to bid.,,False,bad,,,
63,"My dance class really stood out from, like, the 10th violin class offered that day.",,True,bad,,,
64,"Going back to my dorm room, I didn't feel different.",,False,bad,,,
65,I felt really special.,,False,bad,,,
66,"That's when I started thinking about Fatima, a person that I had failed to see as special, when I first met her.",,False,bad,,,
67,"She was from the Middle East, just like Shakira's family was from the Middle East.",,False,bad,,,
68,"She could have probably taught me a thing or two about belly dancing, had I been open to it.",,True,bad,,,
69,"Now, I want you all to take that sticker that was given to you at the beginning of our session today, where you wrote down what makes you special, and I want you to look at it.",,False,bad,,,
70,"If you're watching at home, take a piece of paper, and write down what makes you different.",,True,bad,,,
71,"You may feel guarded when you look at it, maybe even a little ashamed, maybe even proud.",,False,bad,,,
72,But you need to begin to embrace it.,,False,bad,,,
73,"Remember, it is the first step in appreciating what makes others special.",,False,bad,,,
74,"When I went back home to Venezuela, I began to understand how these experiences were changing me.",,False,bad,,,
75,"Being able to speak different languages, to navigate all these different people and places, it gave me a unique sensibility.",,False,bad,,,
76,I was finally beginning to understand the importance of putting myself in other people's shoes.,,False,bad,,,
77,That is a big part of the reason why I decided to become a journalist.,,False,bad,,,
78,"Especially being from a part of the world that is often labeled ""the backyard,"" ""the illegal aliens,"" ""third-world,"" ""the others,"" I wanted to do something to change that.",,False,bad,,,
79,"It was right around the time, however, when the Venezuelan government shut down the biggest television station in our country.",,False,bad,,,
80,"Censorship was growing, and my dad came up to me once again and said, ""How are you going to be a journalist here?",,True,bad,,,
81,"You have to leave.""",,False,bad,,,
82,That's when it hit me.,,False,bad,,,
83,That's what he had been preparing me for.,,False,bad,,,
84,That is what the future held for me.,,False,bad,,,
85,"So in 2008, I packed my bags, and I came to the United States, without a return ticket this time.",,False,bad,,,
86,"I was painfully aware that, at 24 years old, I was becoming a refugee of sorts, an immigrant, the other, once again, and now for good.",,False,bad,,,
87,I was able to come on a scholarship to study journalism.,,False,bad,,,
88,I remember when they gave me my first assignment to cover the historic election of President Barack Obama.,,False,bad,,,
89,"I felt so lucky, so hopeful.",,False,bad,,,
90,"I was, like, ""Yes, this is it.",,True,bad,,,
91,"I've come to post-racial America, where the notion of us and them is being eroded, and will probably be eradicated in my lifetime.""",,False,bad,,,
92,"Boy, was I wrong, right?",,False,bad,,,
93,Why didn't Barack Obama's presidency alleviate racial tensions in our country?,,False,bad,,,
94,"Why do some people still feel threatened by immigrants, LGBTQ, and minority groups who are just trying to find a space in this United States that should be for all of us?",,False,bad,,,
95,"I didn't have the answers back then, but on November 8th, 2016, when Donald Trump became our president, it became clear that a large part of the electorate sees them as ""the others.""",,True,bad,,,
96,"Some see people coming to take their jobs, or potential terrorists who speak a different language.",,False,bad,,,
97,"Meanwhile, minority groups oftentimes just see hatred, intolerance, and narrow-mindedness on the other side.",,False,bad,,,
98,It's like we're stuck in these bubbles that nobody wants to burst.,,False,bad,,,
99,"The only way to do it, the only way to get out of it is to realize that being different also means thinking differently.",,False,bad,,,
100,It takes courage to show respect.,,False,bad,,,
101,"In the words of Voltaire: ""I may not agree with what you have to say, but I will fight to the death to defend your right to say it.""",,True,bad,,,
102,Failing to see anything good on the other side makes a dialogue impossible.,,False,bad,,,
103,"Without a dialogue, we will keep repeating the same mistakes, because we will not learn anything new.",,False,bad,,,
104,I covered the 2016 election for NBC News.,,False,bad,,,
105,"It was my first big assignment in this mainstream network, where I had crossed over from Spanish television.",,False,bad,,,
106,And I wanted to do something different.,,False,bad,,,
107,I watched election results with undocumented families.,,False,bad,,,
108,"Few thought of sharing that moment with people who weren't citizens, but actually stood the most to lose that night.",,False,bad,,,
109,"When it became apparent that Donald Trump was winning, this eight-year-old girl named Angelina rushed up to me in tears.",,False,bad,,,
110,"She sobbed, and she asked me if her mom was going to be deported now.",,True,bad,,,
111,"I hugged her back and I said, ""It's going to be okay,"" but I really didn't know.",,False,bad,,,
112,"This was the photo we took that night, forever ingrained in my heart.",,False,bad,,,
113,Here was this little girl who was around the same age I was when I went to camp in Brainerd.,,False,bad,,,
114,"She already knows she is ""the other.""",,True,bad,,,
115,"She walks home from school in fear, every day, that her mom can be taken away.",,False,bad,,,
116,"So, how do we put ourselves in Angelina's shoes?",,False,bad,,,
117,"How do we make her understand she is special, and not simply unworthy of having her family together?",,False,bad,,,
118,"By giving camera time to her and families like hers, I tried to make people see them as human beings, and not simply ""illegal aliens.""",,False,bad,,,
119,"Yes, they broke a law, and they should pay a penalty for it, but they've also given everything for this country, like many other immigrants before them have.",,False,bad,,,
120,I've already told you how my path to personal growth started.,,False,bad,,,
121,"To end, I want to tell you how I hit the worst bump in the road yet, one that shook me to my very core.",,False,bad,,,
122,"The day, April 10th, 2014, I was driving to the studio, and I got a call from my parents.",,False,bad,,,
123,"""Are you on the air?"" they asked.",,False,bad,,,
124,I immediately knew something was wrong.,,False,bad,,,
125,"""What happened?""",,False,bad,,,
126,I said.,,False,bad,,,
127,"""It's your sister; she's been in a car accident.""",,False,bad,,,
128,It was as if my heart stopped.,,False,bad,,,
129,"My hands gripped the steering wheel, and I remember hearing the words: ""It is unlikely she will ever walk again.""",,True,bad,,,
130,They say your life can change in a split second.,,False,bad,,,
131,Mine did at that moment.,,False,bad,,,
132,"My sister went from being my successful other half, only a year apart in age, to not being able to move her legs, sit up, or get dressed by herself.",,True,bad,,,
133,"This wasn't like summer camp, where I could magically make it better.",,False,bad,,,
134,This was terrifying.,,False,bad,,,
135,"Throughout the course of two years, my sister underwent 15 surgeries, and she spent the most of that time in a wheelchair.",,False,bad,,,
136,But that wasn't even the worst of it.,,False,bad,,,
137,"The worst was something so painful, it's hard to put into words, even now.",,False,bad,,,
138,"It was the way people looked at her, looked at us, changed.",,False,bad,,,
139,People were unable to see a successful lawyer or a millennial with a sharp wit and a kind heart.,,False,bad,,,
140,"Everywhere we went, I realized that people just saw a poor girl in a wheelchair.",,False,bad,,,
141,They were unable to see anything beyond that.,,False,bad,,,
142,"After fighting like a warrior, I can thankfully tell you that today my sister is walking, and has recovered beyond anyone's expectations.",,True,bad,,,
143,Thank you.,,False,bad,,,
144,"But during that traumatic ordeal, I learned there are differences that simply suck, and it's hard to find positive in them.",,False,bad,,,
145,My sister's not better off because of what happened.,,False,bad,,,
146,But she taught me: you can't let those differences define you.,,False,bad,,,
147,"Being able to reimagine yourself beyond what other people see, that is the toughest task of all, but it's also the most beautiful.",,False,bad,,,
148,"You see, we all come to this world in a body.",,False,bad,,,
149,"People with physical or neurological difficulties, environmentally impacted communities, immigrants, boys, girls, boys who want to dress as girls, girls with veils, women who have been sexually assaulted, athletes who bend their knee as a sign of protest, black, white, Asian, Native American, my sister, you, or me.",,False,bad,,,
150,We all want what everyone wants: to dream and to achieve.,,False,bad,,,
151,"But sometimes, society tells us, and we tell ourselves, we don't fit the mold.",,False,bad,,,
152,"Well, if you look at my story, from being born somewhere different, to belly dancing in high school, to telling stories you wouldn't normally see on TV, what makes me different is what has made me stand out and be successful.",,False,bad,,,
153,"I have traveled the world, and talked to people from all walks of life.",,False,bad,,,
154,You know what I've learned?,,True,bad,,,
155,The single thing every one of us has in common is being human.,,False,bad,,,
156,"So take a stand to defend your race, the human race.",,False,bad,,,
157,Let's appeal to it.,,False,bad,,,
158,"Let's be humanists, before and after everything else.",,True,bad,,,
159,"To end, I want you to take that sticker, that piece of paper where you wrote down what makes you different, and I want you to celebrate it today and every day, shout it from the rooftops.",,False,bad,,,
160,"I also encourage you to be curious and ask, ""What is on other people's pieces of paper?""",,False,bad,,,
161,"""What makes them different?""",,False,bad,,,
162,Let's celebrate those imperfections that make us special.,,False,bad,,,
163,"I hope that it teaches you that nobody has a claim on the word ""normal.""",,True,bad,,,
164,We are all different.,,False,bad,,,
165,"We are all quirky, and unique, and that is what makes us wonderfully human.",,False,bad,,,
166,Thank you so much.,,False,bad,,,
0,"First, a video.",,False,bad,,,
1,"Yes, it is a scrambled egg.",,True,bad,,,
2,"But as you look at it, I hope you'll begin to feel just slightly uneasy.",,False,bad,,,
3,Because you may notice that what's actually happening is that the egg is unscrambling itself.,,True,bad,,,
4,And you'll now see the yolk and the white have separated.,,False,bad,,,
5,And now they're going to be poured back into the egg.,,True,bad,,,
6,And we all know in our heart of hearts that this is not the way the universe works.,,False,bad,,,
7,A scrambled egg is mush - tasty mush - but it's mush.,1.0,True,good,,,
8,"An egg is a beautiful, sophisticated thing that can create even more sophisticated things, such as chickens.",,True,bad,,,
9,And we know in our heart of hearts that the universe does not travel from mush to complexity.,,False,bad,,,
10,"In fact, this gut instinct is reflected in one of the most fundamental laws of physics, the second law of thermodynamics, or the law of entropy.",,False,bad,,,
11,"What that says basically is that the general tendency of the universe is to move from order and structure to lack of order, lack of structure - in fact, to mush.",,True,bad,,,
12,And that's why that video feels a bit strange.,,True,bad,,,
13,"And yet, look around us.",,False,bad,,,
14,What we see around us is staggering complexity.,,False,bad,,,
15,"Eric Beinhocker estimates that in New York City alone, there are some 10 billion SKUs, or distinct commodities, being traded.",,False,bad,,,
16,That's hundreds of times as many species as there are on Earth.,,False,bad,,,
17,"And they're being traded by a species of almost seven billion individuals, who are linked by trade, travel, and the Internet into a global system of stupendous complexity.",,False,bad,,,
18,"So here's a great puzzle: in a universe ruled by the second law of thermodynamics, how is it possible to generate the sort of complexity I've described, the sort of complexity represented by you and me and the convention center?",,True,bad,,,
19,"Well, the answer seems to be, the universe can create complexity, but with great difficulty.",,False,bad,,,
20,"In pockets, there appear what my colleague, Fred Spier, calls ""Goldilocks conditions"" - not too hot, not too cold, just right for the creation of complexity.",,False,bad,,,
21,And slightly more complex things appear.,,False,bad,,,
22,"And where you have slightly more complex things, you can get slightly more complex things.",,False,bad,,,
23,"And in this way, complexity builds stage by stage.",,False,bad,,,
24,Each stage is magical because it creates the impression of something utterly new appearing almost out of nowhere in the universe.,,False,bad,,,
25,We refer in big history to these moments as threshold moments.,,False,bad,,,
26,"And at each threshold, the going gets tougher.",,False,bad,,,
27,"The complex things get more fragile, more vulnerable; the Goldilocks conditions get more stringent, and it's more difficult to create complexity.",,False,bad,,,
28,"Now, we, as extremely complex creatures, desperately need to know this story of how the universe creates complexity despite the second law, and why complexity means vulnerability and fragility.",,False,bad,,,
29,And that's the story that we tell in big history.,,False,bad,,,
30,"But to do it, you have do something that may, at first sight, seem completely impossible.",,False,bad,,,
31,You have to survey the whole history of the universe.,,False,bad,,,
32,So let's do it.,,False,bad,,,
33,(Laughter),,True,bad,,,
34,"Let's begin by winding the timeline back 13.7 billion years, to the beginning of time.",,False,bad,,,
35,"Around us, there's nothing.",,False,bad,,,
36,There's not even time or space.,,False,bad,,,
37,"Imagine the darkest, emptiest thing you can and cube it a gazillion times and that's where we are.",,False,bad,,,
38,"And then suddenly, bang!",,False,bad,,,
39,"A universe appears, an entire universe.",,False,bad,,,
40,And we've crossed our first threshold.,,False,bad,,,
41,The universe is tiny; it's smaller than an atom.,,False,bad,,,
42,It's incredibly hot.,,False,bad,,,
43,"It contains everything that's in today's universe, so you can imagine, it's busting.",,True,bad,,,
44,And it's expanding at incredible speed.,,False,bad,,,
45,"And at first, it's just a blur, but very quickly distinct things begin to appear in that blur.",,False,bad,,,
46,"Within the first second, energy itself shatters into distinct forces including electromagnetism and gravity.",,False,bad,,,
47,And energy does something else quite magical: it congeals to form matter - quarks that will create protons and leptons that include electrons.,,False,bad,,,
48,And all of that happens in the first second.,,True,bad,,,
49,"Now we move forward 380,000 years.",,False,bad,,,
50,That's twice as long as humans have been on this planet.,,False,bad,,,
51,And now simple atoms appear of hydrogen and helium.,,False,bad,,,
52,"Now I want to pause for a moment, 380,000 years after the origins of the universe, because we actually know quite a lot about the universe at this stage.",,False,bad,,,
53,We know above all that it was extremely simple.,,False,bad,,,
54,"It consisted of huge clouds of hydrogen and helium atoms, and they have no structure.",,False,bad,,,
55,They're really a sort of cosmic mush.,,True,bad,,,
56,But that's not completely true.,,False,bad,,,
57,"Recent studies by satellites such as the WMAP satellite have shown that, in fact, there are just tiny differences in that background.",,False,bad,,,
58,"What you see here, the blue areas are about a thousandth of a degree cooler than the red areas.",,False,bad,,,
59,"These are tiny differences, but it was enough for the universe to move on to the next stage of building complexity.",,False,bad,,,
60,And this is how it works.,,True,bad,,,
61,Gravity is more powerful where there's more stuff.,,False,bad,,,
62,"So where you get slightly denser areas, gravity starts compacting clouds of hydrogen and helium atoms.",,False,bad,,,
63,So we can imagine the early universe breaking up into a billion clouds.,,False,bad,,,
64,"And each cloud is compacted, gravity gets more powerful as density increases, the temperature begins to rise at the center of each cloud, and then, at the center, the temperature crosses the threshold temperature of 10 million degrees, protons start to fuse, there's a huge release of energy, and - bam!",,True,bad,,,
65,We have our first stars.,,False,bad,,,
66,"From about 200 million years after the Big Bang, stars begin to appear all through the universe, billions of them.",,False,bad,,,
67,And the universe is now significantly more interesting and more complex.,,False,bad,,,
