Unnamed: 0,text,humor,pred,result,good,bad,precision,accuracy,recall,F1
127,It's like how everybody says their hometown has the best drinking water.,False,False,good,,,,,,
128,"It's bullshitt. The researcher Alan Dixon, son of Dix, so you know he's for real, he looked into it and found that humans are pretty unremarkable and average down there.",True,False,bad,,,,,,
129,But what about our big noses?,False,False,good,,,,,,
130,There must be something special there.,False,False,good,,,,,,
131,"Well, no surprise the science hippies can't even agree on it.",True,True,good,,,,,,
132,One idea was that when we moved to colder places bigger noses were better at warming and moistening the air.,False,False,good,,,,,,
133,That one's refuted.,False,False,good,,,,,,
134,Not just futed.,False,False,good,,,,,,
135,They futed it again.,False,True,bad,,,,,,
136,There's another idea that our big noses gave us stereo smell for navigation.,False,False,good,,,,,,
137,Not refuted yet.,False,False,good,,,,,,
138,And then there's the simple idea that it's just the byproduct of our bigger brains.,False,False,good,,,,,,
139,"As our skulls got bigger our faces flattened, leaving our nose out there like a little flesh island.",False,False,good,,,,,,
140,"So just remember, if you want to laugh at a monkey with a big nose and a funny-looking penis call up a friend and get naked.",True,True,good,,,,,,
141,It's a hell of a lot cheaper than going to Borneo.,False,False,good,,,,,,
142,"Alright, so you want a statue of the monkey, right?",True,True,good,,,,,,
143,How big?,True,False,bad,,,,,,
144,"Oh, that's big.",True,False,bad,,,,,,
145,You want a realistic life like?,True,False,bad,,,,,,
146,"Oh, okay.",True,False,bad,,,,,,
147,"Well, what about the erect?",True,True,good,,,,,,
148,Right.,True,False,bad,,,,,,
149,"No, I understand the tourists.",True,False,bad,,,,,,
150,How about this?,True,False,bad,,,,,,
151,We put grapes in front of it.,True,False,bad,,,,,,
152,"Yeah, no, that's no problem.",True,True,good,,,,,,
153,Anything else?,True,False,bad,,,,,,
154,"Oh, it's a fountain?",True,True,good,,,,,,
155,"Oh, that's new.",True,False,bad,,,,,,
156,Alright.,True,False,bad,,,,,,
157,"Well, in Italy a lot of times the water comes out from the tip of the... We're hear me out.",True,True,good,,,,,,
158,It would come up from behind the grapes in this really beautiful arc.,True,False,bad,,,,,,
159,No?,True,False,bad,,,,,,
160,"Oh, I've got it.",True,False,bad,,,,,,
161,We'll make it look like it's vomiting.,True,False,bad,,,,,,
162,Projectile vomiting.,True,False,bad,,,,,,
163,All over everything.,True,False,bad,,,,,,
0,Hello and welcome to another coding challenge.,False,False,good,,,,,,
1,"Well, I'm excited about this one.",True,True,good,,,,,,
2,"In this coding challenge, I'm going to attempt to make this fern.",True,True,good,,,,,,
3,"The barnsley fern, named for the British mathematician Michael Barnsley.",False,False,good,,,,,,
4,"I encourage you to read this Wikipedia page, which will give you more background on it.",False,False,good,,,,,,
5,What I'm going to do is just look at the algorithm and try to write that algorithm into code and see if we can get that result.,True,False,bad,,,,,,
6,"And then you, the creative viewer of this coding challenge, will make your own version with different colors.",False,False,good,,,,,,
7,And you'll think about animating it and do all sorts of things that I couldn't possibly even imagine.,True,False,bad,,,,,,
8,"So, for what is the algorithm here?",False,False,good,,,,,,
9,"So, if we look down here, I'm just going to skip down down here.",True,True,good,,,,,,
10,"It says, the first point is drawn at the origin x equals 0, y equals 0.",False,False,good,,,,,,
11,So what this means is where you need some sort of two-dimensional space.,False,False,good,,,,,,
12,"It could be a processing canvas and I want to start at 0, 0.",True,False,bad,,,,,,
13,"Now, I'm going to think of 0, 0 in the center here.",True,False,bad,,,,,,
14,"And I'm going to have to probably figure out some ways of, well, the pixels are here, but then 0, 0 on the pixel spaces here.",True,False,bad,,,,,,
15,But I'm not going to worry about that right now.,True,False,bad,,,,,,
16,"And then, what's the next step?",False,False,good,,,,,,
17,"The next step is, and then the new points are iteratively computed by randomly applying one of the four following coordinate transformations.",False,False,good,,,,,,
18,"And here they are to find out this is the kind of stuff that you might see and think: ""AHH! OK, I'm going to go do something else.""",True,True,good,,,,,,
19,This looks like matrix math and linear algebra.,False,False,good,,,,,,
20,"But this is actually, first of all, if you watch some of my matrix videos, this is going to strangely enough make sense to you.",True,False,bad,,,,,,
21,But let me actually show you that this math is actually quite simple.,True,False,bad,,,,,,
22,Let's use just this second one and let's rewrite this over on the board.,False,False,good,,,,,,
23,"So, f of 2x, y equals, so I'm going to have to go back and check it, haha.",True,True,good,,,,,,
24,"0.85, 0.04, 0.85, 0.04.",True,False,bad,,,,,,
25,"Negative 0.04, negative 0.04, I should have made up my own numbers, haha.",True,True,good,,,,,,
26,"0.85, 0.85.",True,False,bad,,,,,,
27,"Then we have x, y. Oh no, I'm running out of space.",True,False,bad,,,,,,
28,I'm running out of space.,True,False,bad,,,,,,
29,"Plus, I can put this in.",True,False,bad,,,,,,
30,You can see that 0 and 1.6.,False,False,good,,,,,,
31,What does this mean?,True,False,bad,,,,,,
32,"Well, this is actually the matrix product or the matrix multiplication or the dot product.",False,False,good,,,,,,
33,What it means is I want to find the values.,True,False,bad,,,,,,
34,"If this is x1, y1, what I want to get is the next values for x.",True,False,bad,,,,,,
35,"So, I have one point and I want to know where does that point go?",True,False,bad,,,,,,
36,"What's x2, y2?",True,False,bad,,,,,,
37,"So, this being x2 equals this number times that 0.85, sorry, times x1 plus this number times that the row gets multiplied by the column, 0.04 times y1.",True,False,bad,,,,,,
38,And then plus this number plus 0.,False,False,good,,,,,,
39,"And then y2 then equals negative 0.04 times x1 plus 0.85, and my handwriting's terrible, times y1, this column times this column plus 1.6.",True,False,bad,,,,,,
40,"So, it's really just this formula.",True,False,bad,,,,,,
41,"If I have an xy coordinate, I get the next xy coordinate with this math.",False,False,good,,,,,,
42,And we can just double check that this is right.,False,False,good,,,,,,
43,Look at that for a second with my horrible messy handwriting.,True,True,good,,,,,,
44,"And then let's go down here and see, look at this.",False,False,good,,,,,,
45,It's the same thing.,False,False,good,,,,,,
46,"x, the next x is this number times the previous x plus this number times the previous y.",False,False,good,,,,,,
47,And the next y is this number times the previous x plus this number times the previous y plus 1.6.,False,False,good,,,,,,
48,"So, we just need to do one of these four.",False,False,good,,,,,,
49,And each one of those four we do according to a particular probability.,False,False,good,,,,,,
50,Right?,False,True,bad,,,,,,
51,"Oh right, ABCDE.",True,False,bad,,,,,,
52,"Yep, that could have written it this way.",True,False,bad,,,,,,
53,That's the generic way of writing.,True,False,bad,,,,,,
54,"Okay, so, all right, so let's go back into that, let's start writing some code.",True,False,bad,,,,,,
55,"All right, so I have a processing sketch, a Java-based programming environment with a nice API for drawing stuff and lots more processing.",True,False,bad,,,,,,
56,I'm going to say background equals zero.,True,False,bad,,,,,,
57,I'm going to have an x ââand a y. I'm going to set those to be zero to start.,True,False,bad,,,,,,
58,"I'm going to draw, I'm going to say stroke.",True,False,bad,,,,,,
59,255,False,False,good,,,,,,
60,Stroke weight.,False,False,good,,,,,,
61,"Sorry, stroke, stroke weight eight.",True,True,good,,,,,,
62,And then I'm going to draw a point at x point y.,True,False,bad,,,,,,
63,OK?,False,True,bad,,,,,,
64,And then what I need to do is get the next value.,True,False,bad,,,,,,
65,"So, next x equals some number, a times x plus b times y plus c. And actually, so let's just use these numbers here.",False,False,good,,,,,,
66,Let's just copy these.,False,False,good,,,,,,
67,0.85.04.,True,False,bad,,,,,,
68,0.85,False,False,good,,,,,,
69,Negative 0.04.,True,False,bad,,,,,,
70,Negative 0.04.0.85.,True,True,good,,,,,,
71,And next y is negative 0.04.0.05.,False,False,good,,,,,,
72,0.05,False,False,good,,,,,,
73,0.05.0.25.,True,False,bad,,,,,,
74,0.05.0.25.,True,False,bad,,,,,,
75,0.05.0.25.,True,False,bad,,,,,,
76,0.05.0.25.,True,False,bad,,,,,,
77,"No, what's going on?",True,True,good,,,,,,
78,"OK, everything's fine now.",True,False,bad,,,,,,
79,"Breathe, everybody.",False,False,good,,,,,,
80,Breathe would be.,False,False,good,,,,,,
81,"Okay, so this is applying that particular transformation.",False,False,good,,,,,,
82,And then I could just say x equals next x. Y equals next y.,True,False,bad,,,,,,
83,"So, what if I were to do this and run this?",True,False,bad,,,,,,
84,I don't get any errors.,True,False,bad,,,,,,
85,"So, I do see this circle over here being drawn.",True,False,bad,,,,,,
86,"So, here's the thing.",False,False,good,,,,,,
87,I'm only applying one of those transformations.,True,False,bad,,,,,,
88,I need to pick one of four.,True,False,bad,,,,,,
89,And I also am not thinking sort of thoughtfully about the pixel space.,True,False,bad,,,,,,
90,"So, I need to do a mapping, right?",True,True,good,,,,,,
91,"x with pixels goes from 0 to 600, 0 to 600.",False,False,good,,,,,,
92,But maybe I want to think of this as a space between negative 1 and 1 and negative 1 and 1.,True,False,bad,,,,,,
93,"So, what I want to do is say, when I actually go to draw it, pixel x equals map x, which goes between negative 1 and 1 to 0 and width, and pixel y between negative 1 and 1.",True,False,bad,,,,,,
94,"And I'm going to flip the axis, height, 0.",True,False,bad,,,,,,
95,"And then I'm going to draw the point at px, py.",True,True,good,,,,,,
96,Let's run this.,False,False,good,,,,,,
97,"And then, oh, okay, and then I only want to draw the background once.",True,False,bad,,,,,,
98,"And we can see, there we go.",False,False,good,,,,,,
99,"So, if I apply that transformation over and over again, we can see the point going up that way.",False,False,good,,,,,,
100,"Now, is that right?",True,True,good,,,,,,
101,That looked weird to me.,True,False,bad,,,,,,
102,This has to be y.,False,False,good,,,,,,
103,"Yes, this needs to be y. I was like mapping the x value.",True,False,bad,,,,,,
104,"I was like, why is it, uh, alright.",True,True,good,,,,,,
105,"So, uh, mmm, alright.",True,True,good,,,,,,
106,"It's not moving very much, but that's fine.",True,False,bad,,,,,,
107,I'm just applying this one transformation.,True,False,bad,,,,,,
108,"Alright, let's look at the values.",False,False,good,,,,,,
109,Just to sort of see what those values ââare doing.,True,False,bad,,,,,,
110,"And we can see, there we go.",False,False,good,,,,,,
111,"Now, it kind of settled.",True,False,bad,,,,,,
112,"Interestingly enough, it settled to a fixed point.",False,False,good,,,,,,
113,hmm,False,False,good,,,,,,
114,But here's the thing.,False,False,good,,,,,,
115,We need to do one of four transformations.,False,False,good,,,,,,
116,"So, I need to do the tedious thing.",True,False,bad,,,,,,
117,"Now, I could probably write the encode these into arrays and, like, automatically.",False,False,good,,,,,,
118,But I'm going to do this in a very long-winded way.,True,False,bad,,,,,,
119,Just to see the code.,False,False,good,,,,,,
120,I'm going to have four of these possibilities.,True,False,bad,,,,,,
121,"So, this is actually number two.",False,False,good,,,,,,
122,I need to have one.,True,False,bad,,,,,,
123,I need to have three.,True,False,bad,,,,,,
124,And I need to have four.,True,False,bad,,,,,,
125,And I probably should put these in a function.,True,True,good,,,,,,
126,"But, oh, there's so many ways I could organize the code to be better.",True,False,bad,,,,,,
127,But I'm going to just do it this way right now.,True,False,bad,,,,,,
128,"And I'm going to, maybe I'll refactor it all later, let you do that.",True,True,good,,,,,,
129,"So, let's go back and look at the algorithm.",False,False,good,,,,,,
130,This is just zero and point one six times y.,False,False,good,,,,,,
131,"So, this one is actually just zero.",False,False,good,,,,,,
132,"And this is actually just zero point one, zero point one six times y.",False,False,good,,,,,,
133,That's option number one.,True,False,bad,,,,,,
134,"Option number two, we did.",False,False,good,,,,,,
135,Option number three.,False,False,good,,,,,,
136,"Option number three is point two, negative point two six, point two, negative zero point two six.",True,False,bad,,,,,,
137,"And then point two three, point two two, one point six.",False,False,good,,,,,,
138,"Point two three, point two two, two point six, what that what it was?",True,False,bad,,,,,,
139,One point six.,False,False,good,,,,,,
140,"And then, option number four is negative point one five, point two eight.",False,False,good,,,,,,
141,You're really watching me do this.,True,False,bad,,,,,,
142,Negative one five and two eight.,True,False,bad,,,,,,
143,That's not right.,True,False,bad,,,,,,
144,"Yeah, it's right.",True,False,bad,,,,,,
145,"And then, two six two four four four.",False,False,good,,,,,,
146,Two six two four four four four.,False,False,good,,,,,,
147,Let's auto format all this.,False,False,good,,,,,,
148,"Okay, now, this is the really important part.",True,False,bad,,,,,,
149,I need everything to line up.,True,False,bad,,,,,,
150,It's not lining up the way I wanted to.,True,False,bad,,,,,,
151,Help me line up.,True,False,bad,,,,,,
152,"No, no, this plus has to go here.",True,False,bad,,,,,,
153,This has to go there.,False,False,good,,,,,,
154,That's ok now.,False,False,good,,,,,,
155,This is ok.,False,False,good,,,,,,
156,That's fine.,False,False,good,,,,,,
157,That's fine.,False,False,good,,,,,,
158,"OK, it's fine now.",True,False,bad,,,,,,
159,Everything's okay everybody.,True,False,bad,,,,,,
160,"Oh wait, no, no, no.",True,True,good,,,,,,
161,I need a zero here.,True,False,bad,,,,,,
162,Definitely need a zero there.,True,True,good,,,,,,
163,OK.,False,False,good,,,,,,
164,What's wrong?,True,False,bad,,,,,,
165,"Oh, no, no.",True,False,bad,,,,,,
166,These have to go over because there's no negative there.,True,False,bad,,,,,,
167,"Oh, and this has, yeah, I don't like this.",True,True,good,,,,,,
168,This has to go over too.,False,False,good,,,,,,
169,"Yes, yes.",False,False,good,,,,,,
170,"OK, this has to go over.",True,False,bad,,,,,,
171,There we go.,False,False,good,,,,,,
172,"OK, that's much better now.",True,False,bad,,,,,,
173,"Now, the other thing is, I'm just going to say float next x.",True,True,good,,,,,,
174,Float next y.,False,False,good,,,,,,
175,"And then, I'm going to, because I just wanted to clear the variables once.",True,False,bad,,,,,,
176,I'm going to get rid of all of these.,True,False,bad,,,,,,
177,"Yes, you're watching me do this in the most tedious, ridiculous way possible.",True,False,bad,,,,,,
178,"But it's good, this is good for you.",True,False,bad,,,,,,
179,"Because you're in your frustration and like, oh, I got a lot.",True,True,good,,,,,,
180,"You're going to, you're going to improve your coding skills by doing it in a different way.",True,False,bad,,,,,,
181,"Watching me and my poor, poor, poor way of doing this.",True,False,bad,,,,,,
182,OK.,False,False,good,,,,,,
183,So this is good.,True,False,bad,,,,,,
184,"Now, I need to, now I'm going to pick a random number.",True,False,bad,,,,,,
185,"And I'm just going to say, I'm going to just do this.",True,False,bad,,,,,,
186,"If r is less, I'm going to, I'm going to do a one out of four chance for each of these.",True,False,bad,,,,,,
187,"If r is less than 0.25, do this.",False,False,good,,,,,,
188,"Otherwise, if r is less than 0.5, do this one.",False,False,good,,,,,,
189,"Otherwise, otherwise, if r is less than 0.75, do this one.",False,False,good,,,,,,
190,"And then otherwise, do the last one.",False,False,good,,,,,,
191,"So now, I'm just doing a one out of four chance of doing any of these.",True,True,good,,,,,,
192,OK.,False,False,good,,,,,,
193,"So let's, all right.",True,False,bad,,,,,,
194,So let's run this and see what happens.,False,False,good,,,,,,
195,We're not going to get the fern.,True,False,bad,,,,,,
196,"But we should get, ooh, look at this.",True,False,bad,,,,,,
197,I'm getting something.,True,False,bad,,,,,,
198,"It's just, look at this.",True,False,bad,,,,,,
199,"Oh, it might even be like two.",True,False,bad,,,,,,
200,"It's just, look at this.",True,False,bad,,,,,,
201,"Oh, it might even be like, tree like.",True,False,bad,,,,,,
202,"So one thing I want to do is, I want to pick the, I want to take this, which is like, sort of like next point.",True,False,bad,,,,,,
203,"And I'm going to put that into its own function, next point.",True,False,bad,,,,,,
204,"So that I can, because I'm, I'm probably going to want to also do this.",True,False,bad,,,,,,
205,"Oh, and then I'm going to take this and draw a point.",True,False,bad,,,,,,
206,"And then, because I might want to do these multiple times in draw.",True,True,good,,,,,,
207,"So I think just, and I could probably do this in an object oriented way.",True,False,bad,,,,,,
208,I should probably store it in a ray of all the points.,True,False,bad,,,,,,
209,But let's just look at this.,False,False,good,,,,,,
210,"So now, let's, let me let this go a little faster.",True,False,bad,,,,,,
211,"Let me say, do a hundred of these transformations per frame.",False,False,good,,,,,,
212,"And we can see, and by the way, 0, 0 should be at the bottom.",False,False,good,,,,,,
213,I am now sort of figuring out.,True,False,bad,,,,,,
214,"So I'm going to put 0, 0 at the bottom.",True,True,good,,,,,,
215,"So I'm going to map this from a two, two down to 0.",True,False,bad,,,,,,
216,Right?,False,True,bad,,,,,,
217,"Oh whoa, I did that.",True,True,good,,,,,,
218,"No, 0 to 2, I mean.",True,False,bad,,,,,,
219,0 to 2,False,False,good,,,,,,
220,There we go.,False,False,good,,,,,,
221,So here's my weird tree thing that I'm making without being thoughtful about those probabilities.,True,True,good,,,,,,
222,Let's go look at the Wikipedia page for those probabilities.,False,False,good,,,,,,
223,And you can see they're actually right here in this table.,True,False,bad,,,,,,
224,So this table is actually defining all those coefficients.,False,False,good,,,,,,
225,And here in repeat probability.,False,False,good,,,,,,
226,"So we have a 1% chance of the first one, 85% chance of the second, 7% chance of the third, and 7% chance of the fourth.",False,False,good,,,,,,
227,"So I'm actually going to put this, I'm going to amazingly do this in an array.",True,False,bad,,,,,,
228,"Well, actually, so, so, okay.",True,False,bad,,,,,,
229,"So there is, let's think about this.",False,False,good,,,,,,
230,Back here.,False,False,good,,,,,,
231,There's a 1% chance of this first one.,False,False,good,,,,,,
232,So I know that should be this.,True,False,bad,,,,,,
233,"Now, I want to have an 85% chance of this second one.",True,False,bad,,,,,,
234,"So now I actually need to look and see, is it less than 0.86?",True,True,good,,,,,,
235,"Because if it's less than 0.01, that's a 1% chance.",True,False,bad,,,,,,
236,And between 0.01 and 0.86 is 85%.,False,False,good,,,,,,
237,"Then I need to do less than 0.93, right?",True,True,good,,,,,,
238,Because there's a 7% chance of this third one.,True,False,bad,,,,,,
239,"And in all other cases, the fourth one.",False,False,good,,,,,,
240,So let's look at this now.,False,False,good,,,,,,
241,And are we going to get a barnsley firm?,False,True,bad,,,,,,
242,This is looking pretty good.,False,False,good,,,,,,
243,"Now, everything's like way off the screen, right?",True,True,good,,,,,,
244,Because I wasn't proud.,True,False,bad,,,,,,
245,"I was like, oh, that'll just make up between negative 1 and 1.",True,True,good,,,,,,
246,"But you might have noticed, remember the jazz timing?",True,False,bad,,,,,,
247,Plus 1.6.,False,False,good,,,,,,
248,"So clearly, the point can go further than that.",False,False,good,,,,,,
249,So let's give ourselves some more space.,False,False,good,,,,,,
250,So where are the mappings?,True,False,bad,,,,,,
251,The mappings are here.,False,False,good,,,,,,
252,Let's go from 0 to 4.,True,False,bad,,,,,,
253,And let's try negative 2 to 2.,True,False,bad,,,,,,
254,And let's make the stroke weight a little bit less.,True,False,bad,,,,,,
255,Let's give ourselves much more space.,False,False,good,,,,,,
256,"Oh, look at that.",True,False,bad,,,,,,
257,Beauty-us-ness.,True,False,bad,,,,,,
258,Barnsley firm.,False,False,good,,,,,,
259,That looks about right.,False,False,good,,,,,,
260,OK.,False,False,good,,,,,,
261,So I'm done.,True,False,bad,,,,,,
262,Even though I want to do so much more.,True,False,bad,,,,,,
263,But I'm not going to.,True,False,bad,,,,,,
264,I'm going to let you do more.,True,False,bad,,,,,,
