text,humor,pred,result,good,bad,accuracy
"It's my job, and I'm a grown man.",True,False,bad,,,
"Look, it's trying to eat a people.",True,False,bad,,,
Agaronia isn't all offense though.,False,True,bad,,,
It has one more special feature.,False,False,good,,,
See that dark line that goes through its foot?,False,False,good,,,
That is called an autonomy plane.,False,False,good,,,
An agaronia is under attack and retracts into its shell.,False,False,good,,,
"The part of its foot that is exposed can tear off along that line, and over time it will grow back.",False,False,good,,,
"On beaches very far away from this one, across the world, other snails have also evolved the ability to surf.",False,True,bad,,,
"If agaronia are like the lions of the swash surfing snails, then snails in the genus bullia are like the vultures.",False,True,bad,,,
They've got more of a long-board style of surfing and what they're looking for are dead things that washed up on the beach to rot.,False,True,bad,,,
"When bullia senses the clout of juices wafting from this blue-bottle jellyfish, for example, it will surf to the part of the beach where the jellyfish is most likely to have landed.",False,True,bad,,,
If you smell cookies look in the kitchens sort of thing.,False,True,bad,,,
No need for a foot pouch.,False,True,bad,,,
"The jellyfish isn't going anywhere, and bullia feeds on the remains directly with its mouth tube.",False,False,good,,,
Bullia also have a creative way of rounding out their diet.,False,True,bad,,,
"Mash shells attract the growth of a green algae, which they will eat from time to time to get their veggies in.",False,True,bad,,,
Even sharp shooters like impagius saliana have taken to surfing up and down the beach as they hunt for worms.,False,True,bad,,,
They ride a nice little shortboard.,False,True,bad,,,
"Impagius are in the same superfamily as these cone snails, and they have yet another method of hunting.",False,False,good,,,
"They extend their proboscis out towards their prey, in this case a not-so-smart fish.",True,True,good,,,
"Then, they use a modified rangelah in the shape of a barbed needle to harpoon the fish.",False,True,bad,,,
"The rangelah contains toxins which can stun or kill the prey, which is then consumed whole by the rest of the mouth parts.",False,False,good,,,
"It's kind of terrifying, but it's over pretty quickly and it beats dying in a ball sack.",True,True,good,,,
"By the way, if you're a fish, don't respond to those ads in the newspaper to be part of a clinical research trial.",True,True,good,,,
"So wait, what am I supposed to do exactly?",False,False,good,,,
Hang out?,False,True,bad,,,
That's it.,False,True,bad,,,
Hold on.,False,True,bad,,,
Is this a porno?,True,True,good,,,
Oh crap.,True,True,good,,,
It is a porno.,True,True,good,,,
Whoa.,True,True,good,,,
"Yet another snail that serves, he's just kidding.",True,True,good,,,
There's no more.,False,False,good,,,
"You got scared there for a second, didn't you?",False,True,bad,,,
"But listen, I need to talk to you about these snail trails.",False,False,good,,,
"They're random, right?",False,False,good,,,
Are they?,False,True,bad,,,
Are they?,False,True,bad,,,
"I mean, look at it.",False,True,bad,,,
"This isn't like that whole type the word monkey a million times and then it's, uh, wait, you take a typewriter and you put a monkey on it in it.",True,True,good,,,
"No, there's a lot of typewriters, right?",True,True,good,,,
And there's a lot of monkeys and they're all drawing shit in the sand.,True,True,good,,,
This is really getting embarrassing for both of us.,True,True,good,,,
Um.,True,True,good,,,
