text,humor,pred,result,good,bad,accuracy,precision,recall,F1
"No, Jerry, I'm not going to talk about the erections.",True,True,good,,,,,,
Yet.,True,False,bad,,,,,,
"Now, the male Prabasas monkeys profound mezality is most likely the result of sexual selection, which is the corner of evolution where all the weird shit happens.",True,False,bad,,,,,,
There are a couple ways it can go down.,False,False,good,,,,,,
One way is driven by how females decide which male to get busy with.,False,False,good,,,,,,
"For example, let's take these birds here.",False,False,good,,,,,,
Let's say a female has a gene that makes her attracted to a longer tail.,False,False,good,,,,,,
Now she gets out there and gets down with a longer tailed male.,False,False,good,,,,,,
Now the gene for longer tailed males and the gene for being attracted to longer tailed males get passed on.,False,False,good,,,,,,
And now you've got males with longer tails.,False,False,good,,,,,,
"But if females are attracted to longer tails, then she's going to choose males with longer longer tails.",False,False,good,,,,,,
But that on repeat and see what happens.,False,False,good,,,,,,
In the case of the sacraboli you wind up with more tail and bird.,False,False,good,,,,,,
"Congrats, you're a sexy bird now, but you have the flying style of a floppy trash bag that's been caught in a whirl of wind.",False,True,bad,,,,,,
These outsized male ornaments can also become linked to other favorable traits.,False,False,good,,,,,,
In the sense that a peacock's tail might give you clues about the peacock's fuck,True,False,bad,,,,,,
"Well, if it had one, but you get the point, even if the p-hen doesn't.",False,False,good,,,,,,
Glowaca jokes.,False,False,good,,,,,,
"In the case of the probasus male, a large nose is correlated to a larger body mass and larger testicular size.",False,False,good,,,,,,
And that means more sperm and a greater chance of getting pricked.,False,False,good,,,,,,
"But listen, monkeys are naked and it's not that hard to see how big they are and how big their testicles are, especially with the whole erection thing.",False,False,good,,,,,,
But it's not time for that.,False,False,good,,,,,,
"Yet, I know what you're thinking, sweaty nipples.",True,True,good,,,,,,
Maybe our unusually large human noses correlate to the size of something else on our bodies.,False,False,good,,,,,,
Is the size of our nose related to the size of another sticking out bit?,False,False,good,,,,,,
"Well, let me tell you.",False,False,good,,,,,,
"Just last year there was a study in Japan where the science hippies took a bunch of dead people, pretty sure they were dead already, and what they did was measure their noses, and then compared that to their SPL or stretched penis length, which is apparently some sort of standard way of measuring a penis.",False,False,good,,,,,,
"News to me, I've been doing it all wrong, and what they found were that the two measurements were highly related.",False,False,good,,,,,,
A bigger nose meant a bigger SPL.,False,False,good,,,,,,
"Now that's not to suggest that our noses are the product of female choice sexual selection, and that might only be part of the story with the pervasus monkey.",False,False,good,,,,,,
But female choice isn't the only flavor of sexual selection.,False,False,good,,,,,,
Another driver is competition between males.,False,False,good,,,,,,
"When the bros have to fight each other to gain access to females, adaptations that help them when a fight are selected for.",False,False,good,,,,,,
"Often this results in the evolution of weaponry, like long canines or tusks, even in animals that only eat leaves or vegetables.",False,False,good,,,,,,
The pervasus males have quite a bit of competing to do.,False,False,good,,,,,,
Their social system is organized into herons where one male has access to a number of females.,False,False,good,,,,,,
"I know what you're thinking, those noses don't look like weapons to me unless you count a good noodle slapping, but they still can be used in combat.",True,False,bad,,,,,,
Sort of.,False,False,good,,,,,,
"These monkey herons often live close to one another, and females sometimes decide to move between them.",False,False,good,,,,,,
So there's plenty of opportunities for fights as males defend their turf.,False,False,good,,,,,,
But fighting is a real bummer.,False,False,good,,,,,,
"Sorry, but fighting is a real bummer.",False,False,good,,,,,,
They can get hurt.,False,False,good,,,,,,
And they haven't invented the band aid yet.,True,False,bad,,,,,,
"Why would they, with all that fur it'd be a right pitch to take off.",True,False,bad,,,,,,
"So if there's a way a monkey can predict that he's likely to lose a fight before it happens, that would certainly be useful in not getting dead.",True,False,bad,,,,,,
"Now if you can see the size of your challenger, you can just make good choices.",False,False,good,,,,,,
"But where they live, the visibility isn't that great.",False,False,good,,,,,,
What with all the leaves.,False,False,good,,,,,,
And that's where the noises come in.,False,False,good,,,,,,
Propossus monkeys make a lot of noise.,False,False,good,,,,,,
It can sound a bit like a donkey swallowed a dialop modem.,False,False,good,,,,,,
I think you know where this is headed.,False,False,good,,,,,,
"A larger nose helps make a louder, lower sound.",False,False,good,,,,,,
And we already know that large noses correlate to large bodies.,False,False,good,,,,,,
So a male can listen to another male's call and decide if he wants to rumble.,False,False,good,,,,,,
And the females they're listening in too.,False,False,good,,,,,,
Because a louder sound means bigger testicles.,True,False,bad,,,,,,
And telling you it's a whole thing.,True,False,bad,,,,,,
So the propossus nose might be a bit of a both-end.,True,False,bad,,,,,,
Starting to evolve as a signal for males and then driven to extremes by female choice.,False,False,good,,,,,,
These monkeys have something else that's both used to attract mates and to warn other males.,False,False,good,,,,,,
"Go ahead, Jerry.",True,False,bad,,,,,,
"Now humans have more of a right place, right time sort of erection.",False,False,good,,,,,,
"For the propossus monkey, the time is always in the places everywhere.",True,False,bad,,,,,,
They have a brightly colored and more or less permanent erection.,True,False,bad,,,,,,
It's not always turned up to 11.,True,False,bad,,,,,,
There's the sort of everyday walking about erection.,True,False,bad,,,,,,
This one's measuring his SPL.,False,False,good,,,,,,
And here's a more elegant cocktail party sort of erection.,True,True,good,,,,,,
But they reserve a more straight-up man-spreading erection as a warning for when they're about to get aggressive.,True,False,bad,,,,,,
We don't do that.,True,False,bad,,,,,,
It's a shame.,True,False,bad,,,,,,
We'd make MMA weigh-ins more exciting.,True,False,bad,,,,,,
"Well, Conor McGregor certainly showed up to fight.",True,False,bad,,,,,,
"But no, we can't even use ours to flag down a bus.",True,False,bad,,,,,,
Trust me I've tried it.,True,False,bad,,,,,,
Bus kept going.,True,False,bad,,,,,,
And I know what you're going to say.,False,False,good,,,,,,
I have read somewhere that the human male genitalia is proportionately larger than what the apes on the monkeys are carrying about.,False,False,good,,,,,,
That is like the most human thing to think.,False,False,good,,,,,,
It's like how everybody says their hometown has the best drinking water.,False,False,good,,,,,,
"It's bullshitt. The researcher Alan Dixon, son of Dix, so you know he's for real, he looked into it and found that humans are pretty unremarkable and average down there.",True,False,bad,,,,,,
But what about our big noses?,False,False,good,,,,,,
There must be something special there.,False,False,good,,,,,,
"Well, no surprise the science hippies can't even agree on it.",True,False,bad,,,,,,
One idea was that when we moved to colder places bigger noses were better at warming and moistening the air.,False,False,good,,,,,,
That one's refuted.,False,False,good,,,,,,
Not just futed.,False,False,good,,,,,,
They futed it again.,False,False,good,,,,,,
There's another idea that our big noses gave us stereo smell for navigation.,False,False,good,,,,,,
Not refuted yet.,False,False,good,,,,,,
And then there's the simple idea that it's just the byproduct of our bigger brains.,False,False,good,,,,,,
"As our skulls got bigger our faces flattened, leaving our nose out there like a little flesh island.",False,False,good,,,,,,
"So just remember, if you want to laugh at a monkey with a big nose and a funny-looking penis call up a friend and get naked.",True,False,bad,,,,,,
It's a hell of a lot cheaper than going to Borneo.,False,False,good,,,,,,
"Alright, so you want a statue of the monkey, right?",True,True,good,,,,,,
How big?,True,False,bad,,,,,,
"Oh, that's big.",True,False,bad,,,,,,
You want a realistic life like?,True,False,bad,,,,,,
"Oh, okay.",True,False,bad,,,,,,
"Well, what about the erect?",True,False,bad,,,,,,
Right.,True,False,bad,,,,,,
"No, I understand the tourists.",True,False,bad,,,,,,
How about this?,True,False,bad,,,,,,
We put grapes in front of it.,True,False,bad,,,,,,
"Yeah, no, that's no problem.",True,False,bad,,,,,,
Anything else?,True,False,bad,,,,,,
"Oh, it's a fountain?",True,True,good,,,,,,
"Oh, that's new.",True,False,bad,,,,,,
Alright.,True,False,bad,,,,,,
"Well, in Italy a lot of times the water comes out from the tip of the... We're hear me out.",True,False,bad,,,,,,
It would come up from behind the grapes in this really beautiful arc.,True,False,bad,,,,,,
No?,True,False,bad,,,,,,
"Oh, I've got it.",True,False,bad,,,,,,
We'll make it look like it's vomiting.,True,False,bad,,,,,,
Projectile vomiting.,True,False,bad,,,,,,
All over everything.,True,False,bad,,,,,,
