text,humor,pred,result,good,bad,precision,accuracy,recall,F1
"She's been responsible for some of the most successful musical theater productions in history, she's given pleasure to millions, and she's a multimillionaire.",False,False,good,,,,,,
Somebody else might have put her on medication and told her to calm down.,False,False,good,,,,,,
What I think it comes to is this: Al Gore spoke the other night about ecology and the revolution that was triggered by Rachel Carson.,False,False,good,,,,,,
"I believe our only hope for the future is to adopt a new conception of human ecology, one in which we start to reconstitute our conception of the richness of human capacity.",False,False,good,,,,,,
"Our education system has mined our minds in the way that we strip-mine the earth for a particular commodity. And for the future, it won't serve us.",False,False,good,,,,,,
We have to rethink the fundamental principles on which we're educating our children.,False,False,good,,,,,,
"There was a wonderful quote by Jonas Salk, who said, ""If all the insects were to disappear from the Earth, within 50 years, all life on Earth would end. If all human beings disappeared from the Earth, within 50 years, all forms of life would flourish."". And he's right.",False,False,good,,,,,,
What TED celebrates is the gift of the human imagination.,False,False,good,,,,,,
"We have to be careful now that we use this gift wisely, and that we avert some of the scenarios that we've talked about. And the only way we'll do it is by seeing our creative capacities for the richness they are and seeing our children for the hope that they are. And our task is to educate their whole being, so they can face this future.",False,False,good,,,,,,
"By the way - we may not see this future, but they will. And our job is to help them make something of it.",False,False,good,,,,,,
Thank you very much.,False,False,good,,,,,,
