text,humor,pred,result,good,bad,accuracy,precision,recall,F1
so does that mean if i was an object living in a sixty one dimensional universe it is a little bit more boring than some of the other ones,TRUE,TRUE,good,,,,,,
that s right yes these are the boring dimensions you do not have exotic spheres,TRUE,FALSE,bad,,,,,,
although you do have some other exotic objects in these dimensions just not spheres,FALSE,FALSE,good,,,,,,
these numbers seem so arbitrary,FALSE,FALSE,good,,,,,,
i assume it is impossible for someone to easily explain why it is certain numbers that are boring and other ones that are hyper exotic,FALSE,FALSE,good,,,,,,
these numbers are hard to compute does a whole story involving bernoulli numbers and homotopic groups of spheres,FALSE,FALSE,good,,,,,,
the most interesting thing about them is that we can compute them in any dimension except in dimension four,FALSE,FALSE,good,,,,,,
that s where i left question mark,FALSE,FALSE,good,,,,,,
that s the biggest mystery,FALSE,FALSE,good,,,,,,
it s one of the most famous open problems in topology,FALSE,FALSE,good,,,,,,
it s called the four dimensional smooth point correct conjecture which says that there are no exotic spheres in dimension four,FALSE,FALSE,good,,,,,,
but we do not know that for sure yet,FALSE,FALSE,good,,,,,,
we do not know,FALSE,FALSE,good,,,,,,
there are examples of objects that are smooth and you can deform them into the ordinary four dimensional sphere by introducing corners,FALSE,FALSE,good,,,,,,
but people do not know if you can do that smoothly or not,FALSE,FALSE,good,,,,,,
i have also looked for exotic four dimensional sphere myself and i could not find any,FALSE,FALSE,good,,,,,,
if you did would you become a very famous mathematician,FALSE,FALSE,good,,,,,,
absolutely,FALSE,FALSE,good,,,,,,
is it not like a millennium problem,FALSE,FALSE,good,,,,,,
is it anything or is it,FALSE,FALSE,good,,,,,,
no there was a similar conjecture in dimension three the poin correct conjecture,FALSE,FALSE,good,,,,,,
that was the one problem in topology among my millennium problems that was solved by peralman in,FALSE,FALSE,good,,,,,,
and i think now the most famous remaining open problem in topology is this one about dimension four,FALSE,FALSE,good,,,,,,
but it has not yet made it to the list of millennium problems,FALSE,FALSE,good,,,,,,
professor do not waste your time making numberphile videos,TRUE,TRUE,good,,,,,,
you need to go upstairs and solve this problem,TRUE,FALSE,bad,,,,,,
numberphile videos are important too,TRUE,FALSE,bad,,,,,,
all right,FALSE,FALSE,good,,,,,,
so why is dimension four so difficult,FALSE,FALSE,good,,,,,,
good question,FALSE,FALSE,good,,,,,,
well it is more difficult than the lower dimensions,FALSE,FALSE,good,,,,,,
one two three becomes in those dimensions we can see things,FALSE,FALSE,good,,,,,,
and there are also geometric techniques that mathematicians use to study shapes in these dimensions,FALSE,FALSE,good,,,,,,
what s interesting is that it is also simpler than dimensions five six and greater,FALSE,FALSE,good,,,,,,
and the reason for that is a trick about separating disks,FALSE,FALSE,good,,,,,,
to explain it let me say one way in which topologists distinguish between shapes,FALSE,FALSE,good,,,,,,
if i have a lasso and i throw it somewhere on the plane or even on the surface of the earth which is a sphere it would surround a region,FALSE,FALSE,good,,,,,,
so i could just contract it into a blob around a little point,FALSE,FALSE,good,,,,,,
but if i have the same lasso and i would put it around the surface around the hole in a donut then i would not be able to contract it without breaking the donut,FALSE,FALSE,good,,,,,,
and that is one way you can tell the donut apart from the sphere,FALSE,FALSE,good,,,,,,
so to study these objects mathematicians are looking at loops and how you contract them,FALSE,FALSE,good,,,,,,
and the contraction spans a disk,FALSE,FALSE,good,,,,,,
a disk is a two dimensional object,FALSE,FALSE,good,,,,,,
and it is easier to study these objects if you can split apart the disks so that you can study each complication one at a time,FALSE,FALSE,good,,,,,,
all right how can you split apart disks,FALSE,FALSE,good,,,,,,
well let me start with lines,FALSE,FALSE,good,,,,,,
if i have two lines and they are on the plane and they intersect if i move one a little bit i m not going to be able to take it off the other,FALSE,FALSE,good,,,,,,
but i can take it off if i allow myself to go into space,FALSE,FALSE,good,,,,,,
the reason is that three is greater than one plus one,FALSE,FALSE,good,,,,,,
each line is a one dimensional object and one plus one is two but i have one extra dimension,FALSE,FALSE,good,,,,,,
and that is why i can do it,FALSE,FALSE,good,,,,,,
similarly if i m interested in separating disks each disk is a two dimensional object and two plus two is four so i need one extra dimension,FALSE,FALSE,good,,,,,,
so in dimensions five and higher i can separate disks,FALSE,FALSE,good,,,,,,
and that just makes topological objects easier to study,FALSE,FALSE,good,,,,,,
this is called the whitney trick and it led to the classification of smooth manifolds in higher dimensions back in the s,FALSE,FALSE,good,,,,,,
and this is the problem with dimension four,FALSE,FALSE,good,,,,,,
you can t in dimension four you have not got the space to separate two disks,FALSE,FALSE,good,,,,,,
that s right,FALSE,FALSE,good,,,,,,
we do not have the geometric methods from lower dimensions and we do not have the trick about separating disks,FALSE,FALSE,good,,,,,,
and that makes dimension four the hardest to wrap our heads around,FALSE,FALSE,good,,,,,,
to give you an example of something that is unique to dimension four instead of looking at exotic spheres let us look at exotic hyperspaces,FALSE,FALSE,good,,,,,,
remember we had the line and then the plane and then the space,FALSE,FALSE,good,,,,,,
and in end dimensions we have the hyperspace,FALSE,FALSE,good,,,,,,
so could you have an exotic hyperspace,FALSE,FALSE,good,,,,,,
something that looks like a plane or a space and you can deform it into the ordinary one but only by making corners,FALSE,FALSE,good,,,,,,
here are the numbers of hyperspaces in each dimension,FALSE,FALSE,good,,,,,,
in any dimension except four there is just one,FALSE,FALSE,good,,,,,,
there s just a standard one and there are no exotic hyperspaces,FALSE,FALSE,good,,,,,,
but in dimension four we have infinitely many,FALSE,FALSE,good,,,,,,
in fact it is more than infinitely many,FALSE,FALSE,good,,,,,,
it s uncountably many,FALSE,FALSE,good,,,,,,
it s not the kind of infinity that you can count one two three and so on,FALSE,FALSE,good,,,,,,
it s as many exotic hyperspaces as there are real numbers,FALSE,FALSE,good,,,,,,
and this does not happen in any other dimensions,FALSE,FALSE,good,,,,,,
if you have exotic objects in some other dimensions you know that there are always finitely many of them,FALSE,FALSE,good,,,,,,
there s finitely many exotic spheres so as i showed you that list of numbers,FALSE,FALSE,good,,,,,,
but in dimension four you can have infinitely many exotic objects,FALSE,FALSE,good,,,,,,
and yeah that is what makes dimension four so fascinating,FALSE,FALSE,good,,,,,,
does this mean dimension four is something that you should be spending more time on because it is so special,FALSE,FALSE,good,,,,,,
or is this a sign that maybe this is a bit of an aberration that you should leave alone,FALSE,FALSE,good,,,,,,
it s a place where you should not play,FALSE,FALSE,good,,,,,,
that depends on your own perspective,FALSE,FALSE,good,,,,,,
there are mathematicians who work on the other dimensions,FALSE,FALSE,good,,,,,,
and there are mathematicians that work on dimension four,FALSE,FALSE,good,,,,,,
i m in the latter category,FALSE,FALSE,good,,,,,,
because quite often when i speak to number theorists and they talk to me about prime numbers and they are showing me some interesting property of prime numbers they very often discard two,FALSE,FALSE,good,,,,,,
they say we are not going to use two because that is an aberration,FALSE,FALSE,good,,,,,,
and it ruins everything,FALSE,FALSE,good,,,,,,
it ruins all our laws and principles on that,FALSE,FALSE,good,,,,,,
and they just throw it aside,FALSE,FALSE,good,,,,,,
it sounds like the fourth dimension is your equivalent,FALSE,FALSE,good,,,,,,
that s pretty much it,FALSE,FALSE,good,,,,,,
in many theorems you say this is happening in all dimensions except four,FALSE,FALSE,good,,,,,,
and we understand what is happening,FALSE,FALSE,good,,,,,,
and we just do not know what is happening in dimension four,FALSE,FALSE,good,,,,,,
but i find that interesting and worthy of study,FALSE,FALSE,good,,,,,,
